property_name,lease_start,rent_amount,cumulative_rent
"Guerrero, Roberts and Taylor",2019-12-29,40306,40306
"Guerrero, Roberts and Taylor",2020-10-02,35019,93647
"Guerrero, Roberts and Taylor",2020-10-02,18322,93647
"Guerrero, Roberts and Taylor",2023-11-14,23601,117248
"Gutierrez, Dunn and Mitchell",2021-03-06,45119,45119
"Gutierrez, Dunn and Mitchell",2022-09-03,17917,63036
"Gutierrez, Dunn and Mitchell",2023-05-10,18440,81476
"Gutierrez, Dunn and Mitchell",2024-03-11,9085,90561
"Hall Inc",2021-03-08,40069,40069
"Hall Inc",2023-11-11,15448,55517
Hall-Burns,2020-05-11,12113,12113
Hall-Burns,2020-05-16,21236,33349
Hall-Burns,2021-07-07,44604,77953
Hall-Burns,2021-09-14,48002,125955
Hall-Burns,2022-05-12,44839,170794
Hall-Burns,2024-05-02,19073,189867
"Hall, Gomez and Diaz",2019-11-29,32579,32579
"Hall, Gomez and Diaz",2020-07-14,23038,55617
"Hall, Gomez and Diaz",2022-03-13,7907,63524
"Hall, Gomez and Diaz",2022-04-02,4835,68359
"Hall, Gomez and Diaz",2024-01-25,4307,72666
"Hall, Gomez and Diaz",2024-06-06,12762,85428
"Hancock, Pearson and Murphy",2021-07-16,26956,26956
"Hancock, Pearson and Murphy",2021-08-21,13835,40791
"Hancock, Pearson and Murphy",2023-03-01,43570,84361
"Hancock, Pearson and Murphy",2023-05-07,16649,101010
"Hancock, Pearson and Murphy",2024-01-15,31476,132486
"Harris LLC",2021-11-06,21978,21978
"Harris LLC",2021-12-17,17800,39778
"Harris LLC",2022-04-09,31000,70778
Harris-Mullins,2022-07-04,12770,12770
Harris-Mullins,2022-09-14,13766,26536
Harris-Mullins,2022-12-24,45987,72523
"Harrison PLC",2021-10-05,15864,15864
"Harrison PLC",2022-07-15,34981,50845
"Harrison PLC",2024-07-12,40581,91426
Harvey-Cunningham,2022-08-19,41308,41308
Harvey-Cunningham,2024-04-23,45867,87175
Harvey-Scott,2020-10-22,41083,41083
Hawkins-Scott,2020-09-23,42000,42000
Hawkins-Scott,2020-12-04,39814,81814
"Henderson, Townsend and Gordon",2019-11-16,1693,1693
"Henderson, Townsend and Gordon",2020-08-28,4678,6371
"Henderson, Townsend and Gordon",2020-10-26,10672,17043
"Henderson, Townsend and Gordon",2020-12-21,31750,48793
"Henderson, Townsend and Gordon",2023-03-06,43341,92134
"Hendricks Group",2020-02-24,14509,14509
"Hendricks Group",2020-08-06,16128,30637
"Hendricks Group",2021-09-10,25119,55756
"Hendricks Group",2022-08-14,20614,76370
"Hendricks Group",2023-08-05,23687,100057
"Hendricks Group",2024-01-20,33098,133155
"Hendricks Group",2024-02-22,38030,171185
"Hendricks Group",2024-03-25,24674,195859
"Hendricks Group",2024-04-15,8154,204013
Hernandez-Ballard,2020-12-01,26063,26063
Hernandez-Ballard,2021-09-29,25006,51069
Hernandez-Ballard,2021-12-15,47763,98832
Hernandez-Ballard,2022-07-22,38023,136855
Hernandez-Ballard,2022-10-19,40974,177829
Hernandez-Ballard,2023-04-09,15101,192930
Hernandez-Ballard,2023-11-01,30017,222947
Hernandez-Hebert,2020-04-01,16067,16067
Hernandez-Hebert,2022-06-21,46581,62648
Hernandez-Hebert,2023-09-25,42186,104834
Hernandez-Hebert,2024-10-18,41445,146279
Hernandez-Sanders,2021-03-16,22749,22749
Hernandez-Sanders,2021-06-26,22227,44976
Hernandez-Sanders,2022-02-24,34980,79956
"Hernandez, Jackson and Nguyen",2020-02-14,18802,18802
"Hernandez, Jackson and Nguyen",2020-05-25,38258,57060
"Hernandez, Jackson and Nguyen",2023-05-23,33179,90239
"Hernandez, Jackson and Nguyen",2023-10-10,8396,98635
"Herrera Group",2021-08-13,49747,49747
"Herrera Group",2023-12-19,46099,95846
"Herrera Group",2024-03-09,40807,136653
"Herrera Group",2024-05-20,23957,160610
"Herrera Ltd",2021-12-05,18450,18450
"Herrera Ltd",2024-01-26,22452,40902
"Herrera Ltd",2024-10-09,46264,87166
"Herrera PLC",2019-11-07,6263,6263
"Herrera PLC",2024-10-21,45234,51497
"Hester PLC",2020-03-21,5544,5544
"Hester PLC",2022-11-15,32812,38356
"Hester PLC",2023-05-30,1717,40073
"Hickman and Sons",2023-03-08,23313,23313
"Hickman and Sons",2023-07-29,28933,52246
"Higgins Group",2020-10-17,24662,24662
"Higgins Group",2021-06-19,17982,42644
"Higgins Group",2022-03-29,9894,52538
"Higgins Group",2023-11-03,47113,99651
"Higgins Group",2024-02-10,47695,147346
"Hill, Gonzales and Hansen",2020-12-07,33973,33973
"Hill, Gonzales and Hansen",2022-12-04,37182,71155
"Hill, Gonzales and Hansen",2023-06-10,48860,120015
"Hill, Gonzales and Hansen",2023-11-09,1412,121427
"Hill, Perkins and Fleming",2020-01-16,31755,31755
"Hill, Perkins and Fleming",2020-02-28,39080,70835
"Hill, Perkins and Fleming",2020-10-22,18493,89328
"Hill, Perkins and Fleming",2021-03-09,33687,123015
"Hill, Perkins and Fleming",2024-08-19,45384,168399
"Hill, Perkins and Fleming",2024-08-30,4737,173136
"Hodge, Mclaughlin and Jones",2020-02-04,31151,31151
"Hodge, Mclaughlin and Jones",2020-04-04,40345,71496
"Hodge, Mclaughlin and Jones",2023-08-28,6549,78045
"Hodge, Mclaughlin and Jones",2023-12-07,22577,100622
"Hoffman, Hensley and Martinez",2020-06-13,30590,30590
"Hoffman, Hensley and Martinez",2021-05-18,44191,74781
"Hoffman, Hensley and Martinez",2022-03-02,19521,94302
"Hoffman, Hensley and Martinez",2024-09-15,10621,104923
"Hogan Group",2019-12-05,42354,42354
"Hogan Group",2022-01-18,2682,45036
"Hogan Group",2022-02-11,43093,88129
"Hogan Group",2023-03-11,9422,97551
"Hogan Group",2023-03-16,14582,112133
"Hogan Group",2023-07-22,37099,149232
"Hogan Group",2024-02-10,23310,172542
"Hogan Group",2024-02-27,15373,187915
"Hogan Group",2024-08-06,47476,235391
Holmes-Barrett,2019-12-18,40347,40347
Holmes-Barrett,2020-02-25,37818,78165
Holmes-Barrett,2020-12-17,36927,115092
Holmes-Barrett,2021-02-03,2701,117793
Holmes-Barrett,2022-08-04,11764,129557
"Horn, Reed and Miller",2020-07-13,4185,4185
"Horn, Reed and Miller",2021-09-19,15067,19252
"Horn, Reed and Miller",2021-11-05,40851,60103
"Horn, Reed and Miller",2022-06-02,2761,62864
"Horn, Reed and Miller",2023-07-04,26741,89605
"Horton and Sons",2020-08-30,25805,25805
"Horton and Sons",2022-08-26,34718,60523
"Horton and Sons",2023-02-09,24932,85455
"Horton and Sons",2024-09-11,43357,128812
"House PLC",2020-08-23,27935,27935
"House PLC",2021-04-18,35122,63057
"House PLC",2023-04-12,34378,97435
"Howard Inc",2020-09-11,7731,7731
"Howard Inc",2020-10-27,20250,27981
"Howard Inc",2021-08-21,14963,42944
"Howard Inc",2022-05-15,39034,81978
"Howard Inc",2022-09-07,5823,87801
"Huang, Clark and Foster",2020-08-13,30168,30168
"Huang, Clark and Foster",2020-09-24,7312,37480
"Huang, Clark and Foster",2022-03-10,9780,47260
"Huang, Clark and Foster",2023-07-07,2671,49931
"Huang, Clark and Foster",2024-02-27,21804,71735
Huber-Johnson,2022-09-19,42290,42290
Huber-Johnson,2024-08-04,36307,78597
"Hull, Perez and Rasmussen",2022-03-15,16885,16885
Hunt-Bender,2020-10-25,23062,23062
Hunt-Bender,2021-12-15,9098,32160
Hunt-Bender,2023-02-01,33784,65944
"Hurst Inc",2021-01-15,26614,26614
"Hurst Inc",2021-03-19,6457,33071
"Hurst Inc",2022-10-01,3749,36820
"Hurst Inc",2023-10-08,28296,65116
Ibarra-Booker,2022-11-15,33485,33485
"Jackson Group",2021-09-29,6625,6625
"Jackson Group",2023-04-15,42073,48698
"Jackson Group",2023-08-01,14158,62856
"Jackson Group",2024-02-24,42735,105591
"Jackson Inc",2020-11-26,26063,26063
"Jackson Inc",2021-04-01,31459,57522
"Jackson Inc",2021-08-12,12748,70270
"Jackson Inc",2022-08-29,14391,84661
"Jackson Inc",2023-02-11,21879,106540
"Jackson, Davis and Gill",2020-10-14,19936,19936
"Jackson, Davis and Gill",2021-01-14,33477,53413
"Jackson, Davis and Gill",2021-06-19,46679,100092
"Jackson, Davis and Gill",2022-08-25,24860,124952
"Jackson, Davis and Gill",2022-08-30,4935,129887
"Jackson, Davis and Gill",2024-06-21,4540,134427
"Jackson, Mckay and Sanchez",2020-07-08,4956,4956
"Jackson, Mckay and Sanchez",2020-07-26,14180,19136
"Jackson, Mckay and Sanchez",2021-03-15,34559,53695
"Jackson, Mckay and Sanchez",2024-01-16,9805,63500
"Jenkins, Jackson and Lopez",2020-04-11,8268,8268
"Jenkins, Jackson and Lopez",2021-08-01,43375,51643
"Jenkins, Jackson and Lopez",2022-08-01,46984,98627
"Jenkins, Jackson and Lopez",2022-12-13,24199,122826
"Jenkins, Jackson and Lopez",2023-01-29,22470,145296
"Jenkins, Jackson and Lopez",2024-07-26,23652,168948
"Jenkins, Jackson and Lopez",2024-09-03,32419,201367
"Jimenez, Wolfe and Mcfarland",2020-09-05,20673,20673
"Jimenez, Wolfe and Mcfarland",2021-09-09,35993,56666
"Jimenez, Wolfe and Mcfarland",2023-03-04,28298,84964
"Jimenez, Wolfe and Mcfarland",2023-10-26,33555,118519
"Johnson and Sons",2021-12-08,43577,43577
"Johnson and Sons",2023-06-27,41170,84747
Johnson-Beltran,2021-07-30,17419,17419
Johnson-Beltran,2021-11-24,20778,38197
Johnson-Beltran,2022-01-09,36907,75104
Johnson-Beltran,2022-08-16,31971,107075
Johnson-Beltran,2023-03-01,42883,149958
Johnson-Beltran,2023-04-20,22668,172626
Johnson-Beltran,2023-11-18,13725,186351
Johnson-Beltran,2024-06-20,20378,206729
Johnson-Mckinney,2020-02-13,13834,13834
Johnson-Mckinney,2021-04-27,18758,32592
Johnson-Mckinney,2021-05-25,34988,67580
Johnson-Mckinney,2022-02-22,18156,85736
Johnson-Mckinney,2023-01-11,28047,113783
Johnson-Mckinney,2023-09-29,22670,136453
Johnson-Mckinney,2024-02-27,1367,137820
Johnson-Reeves,2019-10-30,45626,45626
Johnson-Reeves,2019-12-13,23031,68657
Johnson-Reeves,2020-01-30,42548,111205
Johnson-Reeves,2021-07-12,10093,121298
Johnson-Reeves,2021-12-20,30900,152198
Johnson-Reeves,2023-08-16,40248,192446
Johnson-Reeves,2023-11-30,10597,203043
Johnson-Reeves,2024-08-03,19976,223019
"Johnson, Graham and Wagner",2021-02-13,14142,14142
"Johnson, Graham and Wagner",2021-03-13,31919,46061
"Johnson, Graham and Wagner",2022-03-23,25329,71390
"Johnson, Graham and Wagner",2022-12-14,17613,89003
"Johnson, Harrison and Mcgee",2021-08-26,21488,21488
"Johnson, Harrison and Mcgee",2024-02-15,22610,44098
"Johnson, Powell and Walker",2020-05-19,27022,27022
"Johnson, Powell and Walker",2020-06-15,47124,74146
"Johnson, Powell and Walker",2021-05-04,16653,90799
"Johnson, Weaver and Torres",2020-06-19,30811,30811
"Johnson, Weaver and Torres",2021-04-13,49590,80401
"Johnson, Weaver and Torres",2021-06-10,41244,121645
"Johnson, Weaver and Torres",2022-07-18,11760,133405
"Johnson, Weaver and Torres",2022-08-14,3758,137163
"Johnson, Weaver and Torres",2023-02-19,3281,140444
"Johnson, Weaver and Torres",2023-06-19,17733,158177
"Johnson, Weaver and Torres",2024-04-07,6652,164829
"Jones Inc",2020-01-09,49977,49977
"Jones Inc",2020-05-29,40555,90532
"Jones Inc",2022-03-17,7530,98062
"Jones Inc",2023-04-20,38552,136614
"Jones Inc",2024-01-09,5993,142607
"Jones Inc",2024-01-13,3097,145704
"Jones Inc",2024-08-01,23680,169384
Jones-Atkins,2019-11-27,37970,37970
Jones-Atkins,2020-06-28,20407,58377
Jones-Atkins,2023-11-07,28108,86485
Jones-Gray,2023-08-21,32477,32477
Jones-Gray,2023-08-23,13956,46433
Jones-Gray,2024-10-17,42355,88788
Jones-Villa,2022-06-06,29958,29958
Jones-Villa,2023-01-03,4696,34654
Jones-Villa,2023-09-07,14900,49554
"Jones, Barrera and Hines",2020-02-06,24693,24693
"Jones, Nelson and Jones",2020-08-16,28878,28878
"Jones, Nelson and Jones",2020-10-09,48646,77524
"Jones, Nelson and Jones",2021-09-12,19627,97151
"Jones, Nelson and Jones",2021-12-11,37966,135117
"Jones, Nelson and Jones",2023-08-22,27082,162199
"Jones, Nelson and Jones",2023-10-07,17365,179564
"Jones, Nelson and Jones",2024-09-18,29738,209302
"Jordan Ltd",2024-08-31,15749,15749
Joseph-Mills,2023-07-15,46397,46397
Joseph-Mills,2023-07-26,6261,52658
Kelley-Lamb,2020-08-01,27253,27253
Kelley-Lamb,2020-08-15,14203,41456
Kelley-Lamb,2020-08-20,24953,66409
Kelley-Lamb,2021-05-23,5267,71676
Kelley-Lamb,2021-10-15,15549,87225
Kelley-Lamb,2022-04-01,40499,127724
Kelley-Lamb,2022-08-12,35431,163155
Kelley-Lamb,2023-04-25,7027,170182
Kelley-Lamb,2023-07-24,6077,176259
Kelley-Lamb,2023-10-15,29410,205669
"Kelly and Sons",2020-06-26,40599,40599
"Kelly and Sons",2023-11-22,22527,63126
"Kelly and Sons",2024-10-21,43382,106508
"Kelly Inc",2020-11-27,11553,11553
"Kelly Inc",2022-01-24,35570,47123
"Kelly Inc",2022-03-30,40444,87567
"Kelly Inc",2023-06-16,47671,135238
"Kelly Inc",2023-12-26,9103,144341
"Kelly Inc",2024-05-27,48086,192427
"Kelly Inc",2024-07-10,49386,241813
Khan-Morales,2020-02-23,21047,21047
Khan-Morales,2022-12-22,43107,64154
Khan-Morales,2023-11-20,26370,90524
"Khan, White and Wall",2022-01-17,39946,39946
"Khan, White and Wall",2022-03-16,8913,48859
"Khan, White and Wall",2022-09-30,19625,68484
"Khan, White and Wall",2024-07-20,17349,85833
"Kim, Robinson and Browning",2020-10-23,43984,43984
"Kim, Robinson and Browning",2023-10-11,4282,48266
"King PLC",2020-07-31,5441,5441
"King, Cobb and Campbell",2020-11-17,27332,27332
"King, Cobb and Campbell",2021-02-11,24845,52177
"King, Cobb and Campbell",2022-10-21,34951,87128
"King, Cobb and Campbell",2023-04-11,34608,121736
"King, Cobb and Campbell",2023-09-02,32978,154714
"King, Cobb and Campbell",2024-07-18,48960,203674
"Knight, Henry and Chandler",2020-03-19,8071,8071
"Knight, Henry and Chandler",2023-04-18,13302,21373
"Knight, Henry and Chandler",2023-04-28,37019,58392
"Knight, Henry and Chandler",2023-09-23,3743,62135
"Knight, Henry and Chandler",2024-07-07,33319,95454
"Krause Inc",2021-10-25,38782,38782
"Krause Inc",2021-11-19,22221,61003
"Krause Inc",2023-07-25,21008,82011
"Krause Inc",2023-11-01,26158,108169
"Krause Inc",2024-03-15,11955,120124
"Krause Inc",2024-06-08,9967,130091
"Landry LLC",2020-10-29,6793,6793
"Landry LLC",2021-06-21,14008,20801
"Landry LLC",2021-07-18,2553,23354
"Landry LLC",2021-11-09,23578,46932
"Lara Group",2021-02-07,38615,38615
"Lara Group",2021-05-28,28814,67429
"Lara Group",2021-08-02,35222,102651
"Lara Group",2022-05-07,12327,114978
"Lara Group",2023-04-24,26386,141364
Larson-Morris,2021-05-06,37904,37904
Larson-Morris,2021-07-10,5127,43031
Larson-Morris,2022-10-03,49868,92899
Larson-Morris,2023-07-07,40055,132954
Larson-Morris,2023-11-15,43260,176214
Larson-Morris,2024-03-16,38763,214977
Larson-Morris,2024-05-22,38553,253530
"Lee LLC",2021-01-26,32043,32043
"Lee LLC",2021-10-17,9734,41777
"Lee LLC",2021-12-24,4938,46715
"Lee LLC",2022-06-13,18435,65150
"Lee LLC",2022-07-14,38539,103689
"Lee LLC",2023-04-15,40008,143697
"Lee Ltd",2023-08-09,19397,19397
"Lee Ltd",2023-12-25,29194,48591
"Lee Ltd",2024-02-07,15134,63725
Lee-Martinez,2020-05-16,41873,41873
Lee-Martinez,2020-10-03,45020,86893
Lee-Martinez,2020-10-08,28442,115335
Lee-Martinez,2021-04-12,20717,136052
Lee-Martinez,2024-01-29,36958,173010
"Lee, Johnson and Zimmerman",2020-07-25,48323,48323
"Lee, Johnson and Zimmerman",2022-08-20,49187,97510
"Lee, Johnson and Zimmerman",2022-08-31,20747,118257
"Lee, Juarez and Mason",2020-03-01,36306,36306
"Lee, Juarez and Mason",2021-01-31,46547,82853
"Lee, Juarez and Mason",2021-02-15,48244,131097
"Lee, Juarez and Mason",2021-03-06,21951,153048
"Lee, Juarez and Mason",2021-11-15,6611,159659
"Lee, Juarez and Mason",2024-09-03,14725,174384
"Lewis Group",2020-06-14,8111,8111
"Lewis Group",2023-11-13,33415,41526
"Lewis Inc",2020-06-02,7672,7672
"Lewis Inc",2022-04-10,38935,46607
"Lewis Inc",2023-03-28,18465,65072
"Lewis Inc",2023-11-19,13414,78486
"Lewis Inc",2024-04-13,27339,105825
"Lewis LLC",2021-01-01,9946,9946
"Lewis LLC",2021-03-28,16103,26049
"Lewis LLC",2021-09-12,45774,71823
"Lewis LLC",2022-01-01,14130,85953
"Lewis LLC",2023-07-17,49074,135027
"Lewis LLC",2023-11-22,25002,160029
"Lewis, Douglas and Richard",2020-08-03,23897,23897
"Lloyd LLC",2020-09-22,4466,4466
"Lloyd LLC",2022-01-22,32706,37172
"Lloyd LLC",2023-05-01,8790,45962
"Lopez Group",2021-02-16,15784,15784
"Lopez Inc",2020-12-19,43443,43443
"Lopez Inc",2021-05-03,46166,89609
"Lopez Inc",2021-12-07,7194,96803
"Lopez Inc",2022-11-17,12251,109054
"Lopez Inc",2023-03-07,19489,128543
"Lopez Inc",2023-11-11,29759,158302
"Lopez Inc",2024-02-17,17422,175724
"Lopez Inc",2024-03-08,5988,181712
Lopez-Boyd,2019-12-04,24686,24686
Lopez-Boyd,2023-04-27,3459,28145
Lopez-Boyd,2024-03-25,28515,56660
Lopez-Rodriguez,2020-02-06,24334,24334
Lopez-Rodriguez,2020-03-13,25403,49737
Lopez-Rodriguez,2020-12-24,25916,75653
Lopez-Rodriguez,2021-02-26,4736,80389
Lopez-Rodriguez,2023-03-11,20173,100562
Lopez-Rodriguez,2023-04-16,15642,116204
Lopez-Rodriguez,2024-10-08,29447,145651
"Lopez, Grimes and Roberts",2021-02-04,19980,19980
"Lopez, Grimes and Roberts",2022-04-10,29616,49596
"Lopez, Grimes and Roberts",2023-02-15,19501,69097
"Lopez, Grimes and Roberts",2023-05-27,48428,117525
"Lopez, Grimes and Roberts",2023-08-05,27019,144544
"Lopez, Grimes and Roberts",2023-12-20,33412,177956
"Lopez, Ingram and Hodge",2019-10-26,48932,48932
"Lopez, Ingram and Hodge",2020-01-21,41932,90864
"Lopez, Ingram and Hodge",2020-12-03,38037,128901
"Lopez, Ingram and Hodge",2021-03-04,36823,165724
"Lopez, Ingram and Hodge",2022-04-07,26638,192362
"Lopez, Ingram and Hodge",2023-03-16,31404,223766
"Lopez, Ingram and Hodge",2023-06-12,3216,226982
"Lynn PLC",2021-03-04,41407,41407
"Lynn PLC",2021-09-03,31759,73166
"Lynn PLC",2022-06-02,38158,111324
"Lynn PLC",2022-11-14,29106,140430
"Lynn PLC",2023-03-08,39838,180268
"Lynn PLC",2023-09-06,26103,206371
"Lynn PLC",2024-09-12,39323,245694
Mack-Doyle,2021-06-29,27640,27640
Mack-Doyle,2021-09-24,3123,30763
Mack-Doyle,2024-09-22,14918,45681
"Mann Group",2019-11-21,20871,20871
"Mann Group",2020-11-05,48228,69099
"Mann Group",2021-04-02,7284,76383
"Mann Group",2021-06-07,4169,80552
"Mann Group",2022-05-14,42831,123383
"Mann Group",2022-09-07,35429,158812
Marquez-Cross,2022-03-19,18302,18302
Marquez-Cross,2022-04-16,24020,42322
Marquez-Cross,2022-11-08,40801,83123
Marquez-Cross,2023-01-20,9016,92139
Marquez-Cross,2023-01-29,44384,136523
Marquez-Cross,2024-01-25,6240,142763
"Martin Group",2020-02-07,13907,13907
"Martin Group",2020-11-02,10146,24053
"Martin Group",2021-04-06,36502,60555
"Martin Group",2021-12-23,49408,109963
"Martin Group",2022-02-08,25819,135782
"Martin Group",2022-03-30,15295,151077
"Martin Group",2022-07-25,33781,184858
"Martin Group",2022-11-24,32003,216861
"Martin Group",2023-05-03,32961,249822
"Martin Group",2024-01-11,27931,277753
"Martin Ltd",2020-03-05,32375,32375
"Martin Ltd",2024-09-14,12783,45158
"Martin PLC",2021-12-11,11539,11539
"Martin PLC",2023-02-09,18554,30093
"Martin PLC",2023-03-28,19182,49275
Martin-Jones,2021-08-03,14083,14083
Martin-Jones,2023-06-27,40525,54608
Martin-Jones,2024-02-24,17557,72165
Martin-Jones,2024-03-25,43043,115208
Martin-Jones,2024-10-25,43498,158706
Martin-Wood,2022-03-28,25516,25516
Martin-Wood,2023-03-23,49328,74844
Martin-Wood,2023-03-27,16018,90862
Martin-Wood,2023-03-29,17261,108123
Martin-Wood,2023-05-10,31258,139381
Martin-Wood,2023-09-10,43191,182572
Martin-Wood,2023-10-11,32430,215002
"Martin, Richardson and Johnson",2021-08-02,48422,48422
"Martin, Richardson and Johnson",2022-08-29,30326,78748
"Martin, Richardson and Johnson",2022-11-02,3693,82441
"Martin, Richardson and Johnson",2023-06-29,37773,120214
"Martin, Williams and Lawson",2020-12-15,30006,30006
"Martin, Williams and Lawson",2021-09-11,11417,41423
"Martin, Williams and Lawson",2022-09-28,30846,72269
"Martin, Williams and Lawson",2023-10-27,33803,106072
"Martinez Inc",2022-07-03,21747,21747
"Martinez Inc",2022-11-14,7812,29559
"Martinez Inc",2023-05-30,21531,51090
"Martinez Inc",2024-07-10,16270,67360
"Martinez Inc",2024-08-14,30657,98017
"Martinez Inc",2024-10-23,34350,132367
"Martinez Ltd",2020-03-16,17601,17601
"Martinez Ltd",2021-01-26,14017,31618
"Martinez Ltd",2021-06-14,18704,50322
"Martinez Ltd",2022-10-28,15885,66207
"Martinez Ltd",2023-01-12,27784,93991
"Martinez Ltd",2023-03-22,8980,102971
"Martinez Ltd",2024-06-06,5993,108964
Martinez-Phillips,2021-01-14,6470,6470
Martinez-Phillips,2022-03-23,35791,42261
Martinez-Phillips,2022-06-03,11499,53760
Martinez-Phillips,2022-06-10,44429,98189
Martinez-Reynolds,2020-04-25,22062,22062
"Martinez, Cox and Malone",2019-12-02,11371,11371
"Martinez, Small and Cunningham",2020-04-08,11932,11932
"Martinez, Small and Cunningham",2020-05-13,39203,51135
"Martinez, Small and Cunningham",2022-04-07,16685,67820
"Martinez, Small and Cunningham",2024-06-04,47779,115599
"Martinez, Small and Cunningham",2024-07-04,49155,164754
"Martinez, Small and Cunningham",2024-10-19,34526,199280
"Mason, Roberts and Smith",2019-11-30,39274,39274
"Mason, Roberts and Smith",2022-09-15,37235,76509
"Mason, Roberts and Smith",2023-11-16,45983,122492
"Mathis and Sons",2022-12-04,15044,15044
"Matthews, Rogers and Tran",2021-06-07,44150,44150
"Matthews, Rogers and Tran",2021-07-17,26252,70402
"Matthews, Rogers and Tran",2022-11-19,18427,88829
"Matthews, Rogers and Tran",2023-01-29,21294,110123
"Matthews, Rogers and Tran",2024-01-12,6635,116758
"Mays Ltd",2020-01-08,14262,14262
"Mays Ltd",2021-04-24,17780,32042
"Mays Ltd",2024-10-21,43248,75290
"Mccall, Williams and Mills",2019-12-31,1792,1792
"Mccall, Williams and Mills",2021-01-10,44217,46009
"Mccall, Williams and Mills",2024-01-23,19188,65197
"Mccall, Williams and Mills",2024-04-22,39280,104477
"Mccann, West and Rodriguez",2020-01-05,10036,10036
"Mccann, West and Rodriguez",2020-04-26,49930,59966
"Mccann, West and Rodriguez",2020-05-25,24824,84790
"Mccann, West and Rodriguez",2022-01-16,35655,120445
"Mccann, West and Rodriguez",2022-04-07,10647,131092
"Mccann, West and Rodriguez",2023-02-07,5594,136686
"Mccann, West and Rodriguez",2024-05-13,31971,168657
"Mccann, West and Rodriguez",2024-07-21,18202,186859
"Mccullough, Stewart and Mora",2023-08-25,15176,15176
"Mccullough, Stewart and Mora",2023-09-02,9270,24446
"Mcdaniel, Summers and Rivera",2022-07-13,7834,7834
Mckee-Jensen,2020-01-31,6747,6747
Mckee-Jensen,2021-03-31,24353,31100
Mckee-Jensen,2023-06-27,11856,42956
Mckenzie-Odonnell,2019-12-09,4912,4912
Mckenzie-Odonnell,2023-06-07,23603,28515
Mckenzie-Odonnell,2023-09-04,44990,73505
"Mckinney LLC",2020-11-01,43554,43554
"Mckinney LLC",2020-12-10,26285,69839
"Mckinney LLC",2021-03-02,48240,118079
"Mckinney LLC",2023-09-30,42561,160640
"Mckinney, White and Mason",2019-11-01,48475,48475
"Mckinney, White and Mason",2019-12-11,49471,97946
"Mckinney, White and Mason",2020-09-12,24167,122113
"Mckinney, White and Mason",2024-04-30,16940,139053
"Mcpherson Group",2020-10-23,25731,25731
"Mcpherson Group",2021-10-06,43850,69581
"Mcpherson Group",2022-06-16,15896,85477
"Mcpherson Group",2023-08-11,25386,110863
"Mcpherson Group",2023-11-24,38341,149204
"Mcpherson Group",2023-12-15,45490,194694
"Mcpherson, Wilson and Miles",2019-12-19,6167,6167
"Mcpherson, Wilson and Miles",2022-04-15,3934,10101
"Mcpherson, Wilson and Miles",2023-12-11,46750,56851
"Mcpherson, Wilson and Miles",2024-07-02,16383,73234
"Meyer Group",2020-08-22,21556,21556
"Meyer Group",2022-05-09,2316,23872
"Meyer Group",2023-02-16,23032,46904
"Meza, Gibson and Adams",2022-10-07,6469,6469
"Meza, Gibson and Adams",2023-03-08,1714,8183
"Meza, Gibson and Adams",2024-06-02,48963,57146
"Miles, Hill and Bell",2020-07-15,12732,12732
"Miles, Hill and Bell",2021-02-06,24991,37723
"Miles, Hill and Bell",2021-07-08,41546,79269
"Miles, Hill and Bell",2022-08-31,23954,103223
"Miller Inc",2020-07-18,19989,19989
"Miller Ltd",2020-05-23,34634,34634
"Miller Ltd",2020-06-08,39692,74326
"Miller Ltd",2022-02-19,12641,86967
"Miller Ltd",2022-07-01,34290,121257
"Miller Ltd",2023-02-21,9871,131128
"Miller Ltd",2023-07-02,12979,144107
Miller-Rivera,2023-02-13,21108,21108
Miller-Smith,2021-01-17,48498,48498
Miller-Smith,2021-01-29,44436,92934
Miller-Smith,2022-05-29,35744,128678
Miller-Smith,2023-02-23,23338,152016
Miller-Smith,2024-08-02,32082,184098
Miranda-Ruiz,2020-09-13,8480,8480
Miranda-Ruiz,2020-12-03,24292,32772
Miranda-Ruiz,2022-12-16,39912,72684
Miranda-Ruiz,2023-04-15,26290,98974
Mitchell-Novak,2021-04-11,26263,26263
Mitchell-Novak,2022-01-04,45737,72000
Mitchell-Novak,2022-12-30,24263,96263
Mitchell-Novak,2024-02-17,8707,104970
Mitchell-Novak,2024-09-30,49679,154649
Molina-Thompson,2020-08-11,37202,37202
Molina-Thompson,2020-10-24,4347,41549
Molina-Thompson,2022-04-05,49032,90581
Molina-Thompson,2023-01-20,44871,135452
Molina-Thompson,2024-06-05,27161,162613
Montgomery-Douglas,2019-12-28,42103,42103
Montgomery-Douglas,2020-01-29,21533,63636
Montgomery-Douglas,2021-06-13,40930,104566
Montgomery-Douglas,2021-12-27,7776,112342
Montgomery-Douglas,2022-02-05,24582,136924
Montgomery-Douglas,2023-04-13,17136,154060
Montgomery-Douglas,2023-11-26,16209,170269
Moon-Ball,2024-05-27,46952,46952
Moon-Ball,2024-08-24,32984,79936
"Moore and Sons",2020-02-13,5646,5646
"Moore and Sons",2021-10-30,34006,39652
"Moore PLC",2019-12-10,39798,39798
"Moore PLC",2021-06-19,1159,40957
"Moore PLC",2022-04-02,24496,65453
Moore-Irwin,2020-03-20,33183,33183
Moore-Irwin,2020-05-14,33603,66786
Moore-Irwin,2020-12-08,32704,99490
Moore-Irwin,2021-01-12,49955,149445
