property_name,lease_start,rent_change_from_prev_lease,rent_change
"Freeman Group",2024-02-09,-5746,"rent decreased"
"Freeman Group",2024-03-03,3018,rent_increased
Freeman-Martinez,2020-05-18,N/A,"No previous month record"
Freeman-Martinez,2020-05-20,29273,rent_increased
Freeman-Martinez,2020-09-25,-10644,"rent decreased"
Freeman-Martinez,2020-10-20,-5214,"rent decreased"
Freeman-Martinez,2023-09-24,-14045,"rent decreased"
"Frey and Sons",2019-11-26,N/A,"No previous month record"
"Frey and Sons",2020-12-01,7950,rent_increased
"Frey and Sons",2022-05-20,-22806,"rent decreased"
"Frey and Sons",2023-04-14,9988,rent_increased
"Frey and Sons",2024-09-10,21290,rent_increased
"Fuller Group",2020-04-10,N/A,"No previous month record"
"Fuller Group",2020-05-12,-11404,"rent decreased"
"Fuller Group",2021-03-09,1635,rent_increased
"Fuller Group",2021-05-11,15656,rent_increased
"Fuller Group",2024-04-28,-21853,"rent decreased"
"Fuller Group",2024-05-10,-4914,"rent decreased"
"Fuller Group",2024-05-20,15882,rent_increased
"Gallagher PLC",2020-04-05,N/A,"No previous month record"
"Gallagher PLC",2020-09-13,23058,rent_increased
"Gallagher PLC",2021-06-01,-26025,"rent decreased"
"Gallagher PLC",2023-04-16,33056,rent_increased
"Gallagher PLC",2023-07-07,-36364,"rent decreased"
"Gallegos and Sons",2023-01-19,N/A,"No previous month record"
"Gallegos and Sons",2023-05-26,14782,rent_increased
"Gallegos and Sons",2023-09-09,-22372,"rent decreased"
"Gallegos and Sons",2024-07-10,-11744,"rent decreased"
"Garcia and Sons",2023-05-26,N/A,"No previous month record"
"Garcia and Sons",2024-08-29,-27354,"rent decreased"
"Garcia Inc",2020-02-21,N/A,"No previous month record"
"Garcia Inc",2020-04-13,-42082,"rent decreased"
"Garcia Inc",2022-03-17,3045,rent_increased
"Garcia Ltd",2020-09-03,N/A,"No previous month record"
"Garcia Ltd",2021-07-05,-862,"rent decreased"
"Garcia Ltd",2022-11-08,15195,rent_increased
"Garcia Ltd",2023-11-27,-26968,"rent decreased"
Gardner-Young,2021-02-12,N/A,"No previous month record"
Gardner-Young,2022-05-26,-13717,"rent decreased"
Garrett-Edwards,2019-12-18,N/A,"No previous month record"
Garrett-Edwards,2020-01-21,-1809,"rent decreased"
Garrett-Edwards,2022-07-26,4808,rent_increased
Garrett-Edwards,2023-10-22,-31071,"rent decreased"
Garrett-Edwards,2023-12-28,11545,rent_increased
Garrett-Page,2021-07-11,N/A,"No previous month record"
Garrett-Page,2022-09-24,-19571,"rent decreased"
Garrett-Page,2023-11-09,-651,"rent decreased"
"Gentry Inc",2019-11-07,N/A,"No previous month record"
"Gentry Inc",2021-01-29,14243,rent_increased
"Gentry Inc",2021-07-06,17666,rent_increased
"Gentry Inc",2021-07-25,-19456,"rent decreased"
"Gentry Inc",2023-08-02,-8535,"rent decreased"
"George, Callahan and Ochoa",2019-12-18,N/A,"No previous month record"
"George, Callahan and Ochoa",2020-11-23,2671,rent_increased
"George, Callahan and Ochoa",2022-01-17,-9882,"rent decreased"
"George, Callahan and Ochoa",2022-06-12,10652,rent_increased
"George, Callahan and Ochoa",2023-08-01,-316,"rent decreased"
"George, Callahan and Ochoa",2024-08-20,3697,rent_increased
"George, Reed and Frazier",2020-08-14,N/A,"No previous month record"
"George, Reed and Frazier",2020-12-28,11332,rent_increased
"George, Reed and Frazier",2021-02-20,-35810,"rent decreased"
"George, Reed and Frazier",2022-03-26,31685,rent_increased
"George, Reed and Frazier",2023-04-24,-2848,"rent decreased"
"George, Reed and Frazier",2023-06-16,-35747,"rent decreased"
Gibson-Morgan,NULL,N/A,"No previous month record"
"Gibson, Martin and Russell",2020-04-02,N/A,"No previous month record"
"Gibson, Martin and Russell",2020-04-21,-21934,"rent decreased"
"Gibson, Martin and Russell",2022-04-09,6397,rent_increased
"Gilbert and Sons",2022-05-12,N/A,"No previous month record"
"Gilbert and Sons",2023-05-09,1114,rent_increased
"Gilbert and Sons",2024-07-11,-24887,"rent decreased"
"Gilmore, Frazier and Bright",2020-12-05,N/A,"No previous month record"
"Gilmore, Frazier and Bright",2022-05-31,15851,rent_increased
"Gilmore, Frazier and Bright",2022-09-29,3551,rent_increased
"Gilmore, Frazier and Bright",2022-12-28,-32612,"rent decreased"
"Gomez LLC",2020-05-29,N/A,"No previous month record"
"Gomez LLC",2020-10-15,-11315,"rent decreased"
"Gomez LLC",2020-12-02,5882,rent_increased
"Gomez LLC",2022-03-03,10550,rent_increased
"Gomez LLC",2022-12-07,-8847,"rent decreased"
"Gomez LLC",2024-03-16,35449,rent_increased
"Gonzalez Ltd",2020-06-17,N/A,"No previous month record"
"Gonzalez Ltd",2020-10-25,39345,rent_increased
"Gonzalez Ltd",2021-06-01,-6671,"rent decreased"
"Gonzalez Ltd",2022-06-12,-24330,"rent decreased"
"Gonzalez Ltd",2023-05-12,26294,rent_increased
"Gonzalez Ltd",2024-02-10,-30788,"rent decreased"
Goodwin-Bishop,2019-11-27,N/A,"No previous month record"
Goodwin-Bishop,2020-01-04,-26243,"rent decreased"
Goodwin-Bishop,2020-04-21,23380,rent_increased
Gregory-Pena,2021-02-08,N/A,"No previous month record"
Gregory-Pena,2022-07-05,2107,rent_increased
Gregory-Pena,2022-10-15,22554,rent_increased
Gregory-Pena,2023-04-10,16685,rent_increased
Gregory-Pena,2024-06-17,-8863,"rent decreased"
Gregory-Pena,2024-10-08,-26470,"rent decreased"
"Gregory, Hensley and Ross",2021-04-06,N/A,"No previous month record"
"Gregory, Hensley and Ross",2022-10-10,8647,rent_increased
"Gregory, Hensley and Ross",2024-07-22,14759,rent_increased
Griffin-Miller,2019-12-22,N/A,"No previous month record"
Griffin-Miller,2023-10-09,10595,rent_increased
Griffin-Velez,2021-04-17,N/A,"No previous month record"
Griffin-Velez,2022-10-30,-14385,"rent decreased"
"Guerrero PLC",2023-04-26,N/A,"No previous month record"
"Guerrero PLC",2023-07-27,-1662,"rent decreased"
"Guerrero, Cain and Arnold",NULL,N/A,"No previous month record"
"Guerrero, Roberts and Taylor",2019-12-29,N/A,"No previous month record"
"Guerrero, Roberts and Taylor",2020-10-02,-21984,"rent decreased"
"Guerrero, Roberts and Taylor",2020-10-02,16697,rent_increased
"Guerrero, Roberts and Taylor",2023-11-14,-11418,"rent decreased"
"Gutierrez, Dunn and Mitchell",2021-03-06,N/A,"No previous month record"
"Gutierrez, Dunn and Mitchell",2022-09-03,-27202,"rent decreased"
"Gutierrez, Dunn and Mitchell",2023-05-10,523,rent_increased
"Gutierrez, Dunn and Mitchell",2024-03-11,-9355,"rent decreased"
"Hall Inc",2021-03-08,N/A,"No previous month record"
"Hall Inc",2023-11-11,-24621,"rent decreased"
Hall-Burns,2020-05-11,N/A,"No previous month record"
Hall-Burns,2020-05-16,9123,rent_increased
Hall-Burns,2021-07-07,23368,rent_increased
Hall-Burns,2021-09-14,3398,rent_increased
Hall-Burns,2022-05-12,-3163,"rent decreased"
Hall-Burns,2024-05-02,-25766,"rent decreased"
"Hall, Gomez and Diaz",2019-11-29,N/A,"No previous month record"
"Hall, Gomez and Diaz",2020-07-14,-9541,"rent decreased"
"Hall, Gomez and Diaz",2022-03-13,-15131,"rent decreased"
"Hall, Gomez and Diaz",2022-04-02,-3072,"rent decreased"
"Hall, Gomez and Diaz",2024-01-25,-528,"rent decreased"
"Hall, Gomez and Diaz",2024-06-06,8455,rent_increased
"Hancock, Pearson and Murphy",2021-07-16,N/A,"No previous month record"
"Hancock, Pearson and Murphy",2021-08-21,-13121,"rent decreased"
"Hancock, Pearson and Murphy",2023-03-01,29735,rent_increased
"Hancock, Pearson and Murphy",2023-05-07,-26921,"rent decreased"
"Hancock, Pearson and Murphy",2024-01-15,14827,rent_increased
"Harris LLC",2021-11-06,N/A,"No previous month record"
"Harris LLC",2021-12-17,-4178,"rent decreased"
"Harris LLC",2022-04-09,13200,rent_increased
Harris-Mullins,2022-07-04,N/A,"No previous month record"
Harris-Mullins,2022-09-14,996,rent_increased
Harris-Mullins,2022-12-24,32221,rent_increased
"Harrison PLC",2021-10-05,N/A,"No previous month record"
"Harrison PLC",2022-07-15,19117,rent_increased
"Harrison PLC",2024-07-12,5600,rent_increased
Harvey-Cunningham,2022-08-19,N/A,"No previous month record"
Harvey-Cunningham,2024-04-23,4559,rent_increased
Harvey-Scott,2020-10-22,N/A,"No previous month record"
Hawkins-Scott,2020-09-23,N/A,"No previous month record"
Hawkins-Scott,2020-12-04,-2186,"rent decreased"
"Henderson, Townsend and Gordon",2019-11-16,N/A,"No previous month record"
"Henderson, Townsend and Gordon",2020-08-28,2985,rent_increased
"Henderson, Townsend and Gordon",2020-10-26,5994,rent_increased
"Henderson, Townsend and Gordon",2020-12-21,21078,rent_increased
"Henderson, Townsend and Gordon",2023-03-06,11591,rent_increased
"Hendricks Group",2020-02-24,N/A,"No previous month record"
"Hendricks Group",2020-08-06,1619,rent_increased
"Hendricks Group",2021-09-10,8991,rent_increased
"Hendricks Group",2022-08-14,-4505,"rent decreased"
"Hendricks Group",2023-08-05,3073,rent_increased
"Hendricks Group",2024-01-20,9411,rent_increased
"Hendricks Group",2024-02-22,4932,rent_increased
"Hendricks Group",2024-03-25,-13356,"rent decreased"
"Hendricks Group",2024-04-15,-16520,"rent decreased"
Hernandez-Ballard,2020-12-01,N/A,"No previous month record"
Hernandez-Ballard,2021-09-29,-1057,"rent decreased"
Hernandez-Ballard,2021-12-15,22757,rent_increased
Hernandez-Ballard,2022-07-22,-9740,"rent decreased"
Hernandez-Ballard,2022-10-19,2951,rent_increased
Hernandez-Ballard,2023-04-09,-25873,"rent decreased"
Hernandez-Ballard,2023-11-01,14916,rent_increased
Hernandez-Hebert,2020-04-01,N/A,"No previous month record"
Hernandez-Hebert,2022-06-21,30514,rent_increased
Hernandez-Hebert,2023-09-25,-4395,"rent decreased"
Hernandez-Hebert,2024-10-18,-741,"rent decreased"
Hernandez-Sanders,2021-03-16,N/A,"No previous month record"
Hernandez-Sanders,2021-06-26,-522,"rent decreased"
Hernandez-Sanders,2022-02-24,12753,rent_increased
"Hernandez, Jackson and Nguyen",2020-02-14,N/A,"No previous month record"
"Hernandez, Jackson and Nguyen",2020-05-25,19456,rent_increased
"Hernandez, Jackson and Nguyen",2023-05-23,-5079,"rent decreased"
"Hernandez, Jackson and Nguyen",2023-10-10,-24783,"rent decreased"
"Herrera Group",2021-08-13,N/A,"No previous month record"
"Herrera Group",2023-12-19,-3648,"rent decreased"
"Herrera Group",2024-03-09,-5292,"rent decreased"
"Herrera Group",2024-05-20,-16850,"rent decreased"
"Herrera Ltd",2021-12-05,N/A,"No previous month record"
"Herrera Ltd",2024-01-26,4002,rent_increased
"Herrera Ltd",2024-10-09,23812,rent_increased
"Herrera PLC",2019-11-07,N/A,"No previous month record"
"Herrera PLC",2024-10-21,38971,rent_increased
"Hester PLC",2020-03-21,N/A,"No previous month record"
"Hester PLC",2022-11-15,27268,rent_increased
"Hester PLC",2023-05-30,-31095,"rent decreased"
"Hickman and Sons",2023-03-08,N/A,"No previous month record"
"Hickman and Sons",2023-07-29,5620,rent_increased
"Higgins Group",2020-10-17,N/A,"No previous month record"
"Higgins Group",2021-06-19,-6680,"rent decreased"
"Higgins Group",2022-03-29,-8088,"rent decreased"
"Higgins Group",2023-11-03,37219,rent_increased
"Higgins Group",2024-02-10,582,rent_increased
"Hill, Gonzales and Hansen",2020-12-07,N/A,"No previous month record"
"Hill, Gonzales and Hansen",2022-12-04,3209,rent_increased
"Hill, Gonzales and Hansen",2023-06-10,11678,rent_increased
"Hill, Gonzales and Hansen",2023-11-09,-47448,"rent decreased"
"Hill, Perkins and Fleming",2020-01-16,N/A,"No previous month record"
"Hill, Perkins and Fleming",2020-02-28,7325,rent_increased
"Hill, Perkins and Fleming",2020-10-22,-20587,"rent decreased"
"Hill, Perkins and Fleming",2021-03-09,15194,rent_increased
"Hill, Perkins and Fleming",2024-08-19,11697,rent_increased
"Hill, Perkins and Fleming",2024-08-30,-40647,"rent decreased"
"Hodge, Mclaughlin and Jones",2020-02-04,N/A,"No previous month record"
"Hodge, Mclaughlin and Jones",2020-04-04,9194,rent_increased
"Hodge, Mclaughlin and Jones",2023-08-28,-33796,"rent decreased"
"Hodge, Mclaughlin and Jones",2023-12-07,16028,rent_increased
"Hoffman, Hensley and Martinez",2020-06-13,N/A,"No previous month record"
"Hoffman, Hensley and Martinez",2021-05-18,13601,rent_increased
"Hoffman, Hensley and Martinez",2022-03-02,-24670,"rent decreased"
"Hoffman, Hensley and Martinez",2024-09-15,-8900,"rent decreased"
"Hogan Group",2019-12-05,N/A,"No previous month record"
"Hogan Group",2022-01-18,-39672,"rent decreased"
"Hogan Group",2022-02-11,40411,rent_increased
"Hogan Group",2023-03-11,-33671,"rent decreased"
"Hogan Group",2023-03-16,5160,rent_increased
"Hogan Group",2023-07-22,22517,rent_increased
"Hogan Group",2024-02-10,-13789,"rent decreased"
"Hogan Group",2024-02-27,-7937,"rent decreased"
"Hogan Group",2024-08-06,32103,rent_increased
Holmes-Barrett,2019-12-18,N/A,"No previous month record"
Holmes-Barrett,2020-02-25,-2529,"rent decreased"
Holmes-Barrett,2020-12-17,-891,"rent decreased"
Holmes-Barrett,2021-02-03,-34226,"rent decreased"
Holmes-Barrett,2022-08-04,9063,rent_increased
"Horn, Reed and Miller",2020-07-13,N/A,"No previous month record"
"Horn, Reed and Miller",2021-09-19,10882,rent_increased
"Horn, Reed and Miller",2021-11-05,25784,rent_increased
"Horn, Reed and Miller",2022-06-02,-38090,"rent decreased"
"Horn, Reed and Miller",2023-07-04,23980,rent_increased
"Horton and Sons",2020-08-30,N/A,"No previous month record"
"Horton and Sons",2022-08-26,8913,rent_increased
"Horton and Sons",2023-02-09,-9786,"rent decreased"
"Horton and Sons",2024-09-11,18425,rent_increased
"Horton, Lopez and Sparks",NULL,N/A,"No previous month record"
"House PLC",2020-08-23,N/A,"No previous month record"
"House PLC",2021-04-18,7187,rent_increased
"House PLC",2023-04-12,-744,"rent decreased"
"Howard Inc",2020-09-11,N/A,"No previous month record"
"Howard Inc",2020-10-27,12519,rent_increased
"Howard Inc",2021-08-21,-5287,"rent decreased"
"Howard Inc",2022-05-15,24071,rent_increased
"Howard Inc",2022-09-07,-33211,"rent decreased"
"Huang, Clark and Foster",2020-08-13,N/A,"No previous month record"
"Huang, Clark and Foster",2020-09-24,-22856,"rent decreased"
"Huang, Clark and Foster",2022-03-10,2468,rent_increased
"Huang, Clark and Foster",2023-07-07,-7109,"rent decreased"
"Huang, Clark and Foster",2024-02-27,19133,rent_increased
Huber-Johnson,2022-09-19,N/A,"No previous month record"
Huber-Johnson,2024-08-04,-5983,"rent decreased"
"Hull, Perez and Rasmussen",2022-03-15,N/A,"No previous month record"
Hunt-Bender,2020-10-25,N/A,"No previous month record"
Hunt-Bender,2021-12-15,-13964,"rent decreased"
Hunt-Bender,2023-02-01,24686,rent_increased
"Hurst Inc",2021-01-15,N/A,"No previous month record"
"Hurst Inc",2021-03-19,-20157,"rent decreased"
"Hurst Inc",2022-10-01,-2708,"rent decreased"
"Hurst Inc",2023-10-08,24547,rent_increased
Ibarra-Booker,2022-11-15,N/A,"No previous month record"
"Jackson Group",2021-09-29,N/A,"No previous month record"
"Jackson Group",2023-04-15,35448,rent_increased
"Jackson Group",2023-08-01,-27915,"rent decreased"
"Jackson Group",2024-02-24,28577,rent_increased
"Jackson Inc",2020-11-26,N/A,"No previous month record"
"Jackson Inc",2021-04-01,5396,rent_increased
"Jackson Inc",2021-08-12,-18711,"rent decreased"
"Jackson Inc",2022-08-29,1643,rent_increased
"Jackson Inc",2023-02-11,7488,rent_increased
"Jackson, Davis and Gill",2020-10-14,N/A,"No previous month record"
"Jackson, Davis and Gill",2021-01-14,13541,rent_increased
"Jackson, Davis and Gill",2021-06-19,13202,rent_increased
"Jackson, Davis and Gill",2022-08-25,-21819,"rent decreased"
"Jackson, Davis and Gill",2022-08-30,-19925,"rent decreased"
"Jackson, Davis and Gill",2024-06-21,-395,"rent decreased"
"Jackson, Mckay and Sanchez",2020-07-08,N/A,"No previous month record"
"Jackson, Mckay and Sanchez",2020-07-26,9224,rent_increased
"Jackson, Mckay and Sanchez",2021-03-15,20379,rent_increased
"Jackson, Mckay and Sanchez",2024-01-16,-24754,"rent decreased"
"Jenkins, Jackson and Lopez",2020-04-11,N/A,"No previous month record"
"Jenkins, Jackson and Lopez",2021-08-01,35107,rent_increased
"Jenkins, Jackson and Lopez",2022-08-01,3609,rent_increased
"Jenkins, Jackson and Lopez",2022-12-13,-22785,"rent decreased"
"Jenkins, Jackson and Lopez",2023-01-29,-1729,"rent decreased"
"Jenkins, Jackson and Lopez",2024-07-26,1182,rent_increased
"Jenkins, Jackson and Lopez",2024-09-03,8767,rent_increased
"Jimenez, Wolfe and Mcfarland",2020-09-05,N/A,"No previous month record"
"Jimenez, Wolfe and Mcfarland",2021-09-09,15320,rent_increased
"Jimenez, Wolfe and Mcfarland",2023-03-04,-7695,"rent decreased"
"Jimenez, Wolfe and Mcfarland",2023-10-26,5257,rent_increased
"Johnson and Sons",2021-12-08,N/A,"No previous month record"
"Johnson and Sons",2023-06-27,-2407,"rent decreased"
Johnson-Beltran,2021-07-30,N/A,"No previous month record"
Johnson-Beltran,2021-11-24,3359,rent_increased
Johnson-Beltran,2022-01-09,16129,rent_increased
Johnson-Beltran,2022-08-16,-4936,"rent decreased"
Johnson-Beltran,2023-03-01,10912,rent_increased
Johnson-Beltran,2023-04-20,-20215,"rent decreased"
Johnson-Beltran,2023-11-18,-8943,"rent decreased"
Johnson-Beltran,2024-06-20,6653,rent_increased
Johnson-Mckinney,2020-02-13,N/A,"No previous month record"
Johnson-Mckinney,2021-04-27,4924,rent_increased
Johnson-Mckinney,2021-05-25,16230,rent_increased
Johnson-Mckinney,2022-02-22,-16832,"rent decreased"
Johnson-Mckinney,2023-01-11,9891,rent_increased
Johnson-Mckinney,2023-09-29,-5377,"rent decreased"
Johnson-Mckinney,2024-02-27,-21303,"rent decreased"
Johnson-Reeves,2019-10-30,N/A,"No previous month record"
Johnson-Reeves,2019-12-13,-22595,"rent decreased"
Johnson-Reeves,2020-01-30,19517,rent_increased
Johnson-Reeves,2021-07-12,-32455,"rent decreased"
Johnson-Reeves,2021-12-20,20807,rent_increased
Johnson-Reeves,2023-08-16,9348,rent_increased
Johnson-Reeves,2023-11-30,-29651,"rent decreased"
Johnson-Reeves,2024-08-03,9379,rent_increased
"Johnson, Graham and Wagner",2021-02-13,N/A,"No previous month record"
"Johnson, Graham and Wagner",2021-03-13,17777,rent_increased
"Johnson, Graham and Wagner",2022-03-23,-6590,"rent decreased"
"Johnson, Graham and Wagner",2022-12-14,-7716,"rent decreased"
"Johnson, Harrison and Mcgee",2021-08-26,N/A,"No previous month record"
"Johnson, Harrison and Mcgee",2024-02-15,1122,rent_increased
"Johnson, Powell and Walker",2020-05-19,N/A,"No previous month record"
"Johnson, Powell and Walker",2020-06-15,20102,rent_increased
"Johnson, Powell and Walker",2021-05-04,-30471,"rent decreased"
"Johnson, Weaver and Torres",2020-06-19,N/A,"No previous month record"
"Johnson, Weaver and Torres",2021-04-13,18779,rent_increased
"Johnson, Weaver and Torres",2021-06-10,-8346,"rent decreased"
"Johnson, Weaver and Torres",2022-07-18,-29484,"rent decreased"
"Johnson, Weaver and Torres",2022-08-14,-8002,"rent decreased"
"Johnson, Weaver and Torres",2023-02-19,-477,"rent decreased"
"Johnson, Weaver and Torres",2023-06-19,14452,rent_increased
"Johnson, Weaver and Torres",2024-04-07,-11081,"rent decreased"
"Jones Inc",2020-01-09,N/A,"No previous month record"
"Jones Inc",2020-05-29,-9422,"rent decreased"
"Jones Inc",2022-03-17,-33025,"rent decreased"
"Jones Inc",2023-04-20,31022,rent_increased
"Jones Inc",2024-01-09,-32559,"rent decreased"
"Jones Inc",2024-01-13,-2896,"rent decreased"
"Jones Inc",2024-08-01,20583,rent_increased
Jones-Atkins,2019-11-27,N/A,"No previous month record"
Jones-Atkins,2020-06-28,-17563,"rent decreased"
Jones-Atkins,2023-11-07,7701,rent_increased
Jones-Gray,2023-08-21,N/A,"No previous month record"
Jones-Gray,2023-08-23,-18521,"rent decreased"
Jones-Gray,2024-10-17,28399,rent_increased
Jones-Villa,2022-06-06,N/A,"No previous month record"
Jones-Villa,2023-01-03,-25262,"rent decreased"
Jones-Villa,2023-09-07,10204,rent_increased
"Jones, Barrera and Hines",2020-02-06,N/A,"No previous month record"
"Jones, Nelson and Jones",2020-08-16,N/A,"No previous month record"
"Jones, Nelson and Jones",2020-10-09,19768,rent_increased
"Jones, Nelson and Jones",2021-09-12,-29019,"rent decreased"
"Jones, Nelson and Jones",2021-12-11,18339,rent_increased
"Jones, Nelson and Jones",2023-08-22,-10884,"rent decreased"
"Jones, Nelson and Jones",2023-10-07,-9717,"rent decreased"
"Jones, Nelson and Jones",2024-09-18,12373,rent_increased
"Jordan Ltd",2024-08-31,N/A,"No previous month record"
Joseph-Mills,2023-07-15,N/A,"No previous month record"
Joseph-Mills,2023-07-26,-40136,"rent decreased"
Kelley-Lamb,2020-08-01,N/A,"No previous month record"
Kelley-Lamb,2020-08-15,-13050,"rent decreased"
Kelley-Lamb,2020-08-20,10750,rent_increased
Kelley-Lamb,2021-05-23,-19686,"rent decreased"
Kelley-Lamb,2021-10-15,10282,rent_increased
Kelley-Lamb,2022-04-01,24950,rent_increased
Kelley-Lamb,2022-08-12,-5068,"rent decreased"
Kelley-Lamb,2023-04-25,-28404,"rent decreased"
Kelley-Lamb,2023-07-24,-950,"rent decreased"
Kelley-Lamb,2023-10-15,23333,rent_increased
"Kelly and Sons",2020-06-26,N/A,"No previous month record"
"Kelly and Sons",2023-11-22,-18072,"rent decreased"
"Kelly and Sons",2024-10-21,20855,rent_increased
"Kelly Inc",2020-11-27,N/A,"No previous month record"
"Kelly Inc",2022-01-24,24017,rent_increased
"Kelly Inc",2022-03-30,4874,rent_increased
"Kelly Inc",2023-06-16,7227,rent_increased
"Kelly Inc",2023-12-26,-38568,"rent decreased"
"Kelly Inc",2024-05-27,38983,rent_increased
"Kelly Inc",2024-07-10,1300,rent_increased
Khan-Morales,2020-02-23,N/A,"No previous month record"
Khan-Morales,2022-12-22,22060,rent_increased
Khan-Morales,2023-11-20,-16737,"rent decreased"
"Khan, White and Wall",2022-01-17,N/A,"No previous month record"
"Khan, White and Wall",2022-03-16,-31033,"rent decreased"
"Khan, White and Wall",2022-09-30,10712,rent_increased
"Khan, White and Wall",2024-07-20,-2276,"rent decreased"
"Kim, Robinson and Browning",2020-10-23,N/A,"No previous month record"
"Kim, Robinson and Browning",2023-10-11,-39702,"rent decreased"
"King PLC",2020-07-31,N/A,"No previous month record"
"King, Cobb and Campbell",2020-11-17,N/A,"No previous month record"
"King, Cobb and Campbell",2021-02-11,-2487,"rent decreased"
"King, Cobb and Campbell",2022-10-21,10106,rent_increased
"King, Cobb and Campbell",2023-04-11,-343,"rent decreased"
"King, Cobb and Campbell",2023-09-02,-1630,"rent decreased"
"King, Cobb and Campbell",2024-07-18,15982,rent_increased
"Knight, Henry and Chandler",2020-03-19,N/A,"No previous month record"
"Knight, Henry and Chandler",2023-04-18,5231,rent_increased
"Knight, Henry and Chandler",2023-04-28,23717,rent_increased
"Knight, Henry and Chandler",2023-09-23,-33276,"rent decreased"
"Knight, Henry and Chandler",2024-07-07,29576,rent_increased
"Krause Inc",2021-10-25,N/A,"No previous month record"
"Krause Inc",2021-11-19,-16561,"rent decreased"
"Krause Inc",2023-07-25,-1213,"rent decreased"
"Krause Inc",2023-11-01,5150,rent_increased
"Krause Inc",2024-03-15,-14203,"rent decreased"
"Krause Inc",2024-06-08,-1988,"rent decreased"
"Landry LLC",2020-10-29,N/A,"No previous month record"
"Landry LLC",2021-06-21,7215,rent_increased
"Landry LLC",2021-07-18,-11455,"rent decreased"
"Landry LLC",2021-11-09,21025,rent_increased
"Lara Group",2021-02-07,N/A,"No previous month record"
"Lara Group",2021-05-28,-9801,"rent decreased"
"Lara Group",2021-08-02,6408,rent_increased
"Lara Group",2022-05-07,-22895,"rent decreased"
"Lara Group",2023-04-24,14059,rent_increased
Larson-Morris,2021-05-06,N/A,"No previous month record"
Larson-Morris,2021-07-10,-32777,"rent decreased"
Larson-Morris,2022-10-03,44741,rent_increased
Larson-Morris,2023-07-07,-9813,"rent decreased"
Larson-Morris,2023-11-15,3205,rent_increased
Larson-Morris,2024-03-16,-4497,"rent decreased"
Larson-Morris,2024-05-22,-210,"rent decreased"
"Lee LLC",2021-01-26,N/A,"No previous month record"
"Lee LLC",2021-10-17,-22309,"rent decreased"
"Lee LLC",2021-12-24,-4796,"rent decreased"
"Lee LLC",2022-06-13,13497,rent_increased
"Lee LLC",2022-07-14,20104,rent_increased
"Lee LLC",2023-04-15,1469,rent_increased
"Lee Ltd",2023-08-09,N/A,"No previous month record"
"Lee Ltd",2023-12-25,9797,rent_increased
"Lee Ltd",2024-02-07,-14060,"rent decreased"
Lee-Martinez,2020-05-16,N/A,"No previous month record"
Lee-Martinez,2020-10-03,3147,rent_increased
Lee-Martinez,2020-10-08,-16578,"rent decreased"
Lee-Martinez,2021-04-12,-7725,"rent decreased"
Lee-Martinez,2024-01-29,16241,rent_increased
"Lee, Johnson and Zimmerman",2020-07-25,N/A,"No previous month record"
"Lee, Johnson and Zimmerman",2022-08-20,864,rent_increased
"Lee, Johnson and Zimmerman",2022-08-31,-28440,"rent decreased"
"Lee, Juarez and Mason",2020-03-01,N/A,"No previous month record"
"Lee, Juarez and Mason",2021-01-31,10241,rent_increased
"Lee, Juarez and Mason",2021-02-15,1697,rent_increased
"Lee, Juarez and Mason",2021-03-06,-26293,"rent decreased"
"Lee, Juarez and Mason",2021-11-15,-15340,"rent decreased"
"Lee, Juarez and Mason",2024-09-03,8114,rent_increased
"Lewis Group",2020-06-14,N/A,"No previous month record"
"Lewis Group",2023-11-13,25304,rent_increased
"Lewis Inc",2020-06-02,N/A,"No previous month record"
"Lewis Inc",2022-04-10,31263,rent_increased
"Lewis Inc",2023-03-28,-20470,"rent decreased"
"Lewis Inc",2023-11-19,-5051,"rent decreased"
"Lewis Inc",2024-04-13,13925,rent_increased
"Lewis LLC",2021-01-01,N/A,"No previous month record"
"Lewis LLC",2021-03-28,6157,rent_increased
"Lewis LLC",2021-09-12,29671,rent_increased
"Lewis LLC",2022-01-01,-31644,"rent decreased"
"Lewis LLC",2023-07-17,34944,rent_increased
"Lewis LLC",2023-11-22,-24072,"rent decreased"
"Lewis, Douglas and Richard",2020-08-03,N/A,"No previous month record"
"Lloyd LLC",2020-09-22,N/A,"No previous month record"
"Lloyd LLC",2022-01-22,28240,rent_increased
"Lloyd LLC",2023-05-01,-23916,"rent decreased"
"Lopez Group",2021-02-16,N/A,"No previous month record"
"Lopez Inc",2020-12-19,N/A,"No previous month record"
"Lopez Inc",2021-05-03,2723,rent_increased
"Lopez Inc",2021-12-07,-38972,"rent decreased"
"Lopez Inc",2022-11-17,5057,rent_increased
"Lopez Inc",2023-03-07,7238,rent_increased
"Lopez Inc",2023-11-11,10270,rent_increased
"Lopez Inc",2024-02-17,-12337,"rent decreased"
"Lopez Inc",2024-03-08,-11434,"rent decreased"
Lopez-Boyd,2019-12-04,N/A,"No previous month record"
Lopez-Boyd,2023-04-27,-21227,"rent decreased"
Lopez-Boyd,2024-03-25,25056,rent_increased
Lopez-Rodriguez,2020-02-06,N/A,"No previous month record"
Lopez-Rodriguez,2020-03-13,1069,rent_increased
Lopez-Rodriguez,2020-12-24,513,rent_increased
Lopez-Rodriguez,2021-02-26,-21180,"rent decreased"
Lopez-Rodriguez,2023-03-11,15437,rent_increased
Lopez-Rodriguez,2023-04-16,-4531,"rent decreased"
