property_name,lease_start,lease_start_year,cumulative_lease_count
"Hancock, Pearson and Murphy",2021-07-16,2021,1
"Hancock, Pearson and Murphy",2021-08-21,2021,2
"Hancock, Pearson and Murphy",2023-03-01,2023,3
"Hancock, Pearson and Murphy",2023-05-07,2023,4
"Hancock, Pearson and Murphy",2024-01-15,2024,5
"Harris LLC",2021-11-06,2021,1
"Harris LLC",2021-12-17,2021,2
"Harris LLC",2022-04-09,2022,3
Harris-Mullins,2022-07-04,2022,1
Harris-Mullins,2022-09-14,2022,2
Harris-Mullins,2022-12-24,2022,3
"Harrison PLC",2021-10-05,2021,1
"Harrison PLC",2022-07-15,2022,2
"Harrison PLC",2024-07-12,2024,3
Harvey-Cunningham,2022-08-19,2022,1
Harvey-Cunningham,2024-04-23,2024,2
Harvey-Scott,2020-10-22,2020,1
Hawkins-Scott,2020-09-23,2020,1
Hawkins-Scott,2020-12-04,2020,2
"Henderson, Townsend and Gordon",2019-11-16,2019,1
"Henderson, Townsend and Gordon",2020-08-28,2020,2
"Henderson, Townsend and Gordon",2020-10-26,2020,3
"Henderson, Townsend and Gordon",2020-12-21,2020,4
"Henderson, Townsend and Gordon",2023-03-06,2023,5
"Hendricks Group",2020-02-24,2020,1
"Hendricks Group",2020-08-06,2020,2
"Hendricks Group",2021-09-10,2021,3
"Hendricks Group",2022-08-14,2022,4
"Hendricks Group",2023-08-05,2023,5
"Hendricks Group",2024-01-20,2024,6
"Hendricks Group",2024-02-22,2024,7
"Hendricks Group",2024-03-25,2024,8
"Hendricks Group",2024-04-15,2024,9
Hernandez-Ballard,2020-12-01,2020,1
Hernandez-Ballard,2021-09-29,2021,2
Hernandez-Ballard,2021-12-15,2021,3
Hernandez-Ballard,2022-07-22,2022,4
Hernandez-Ballard,2022-10-19,2022,5
Hernandez-Ballard,2023-04-09,2023,6
Hernandez-Ballard,2023-11-01,2023,7
Hernandez-Hebert,2020-04-01,2020,1
Hernandez-Hebert,2022-06-21,2022,2
Hernandez-Hebert,2023-09-25,2023,3
Hernandez-Hebert,2024-10-18,2024,4
Hernandez-Sanders,2021-03-16,2021,1
Hernandez-Sanders,2021-06-26,2021,2
Hernandez-Sanders,2022-02-24,2022,3
"Hernandez, Jackson and Nguyen",2020-02-14,2020,1
"Hernandez, Jackson and Nguyen",2020-05-25,2020,2
"Hernandez, Jackson and Nguyen",2023-05-23,2023,3
"Hernandez, Jackson and Nguyen",2023-10-10,2023,4
"Herrera Group",2021-08-13,2021,1
"Herrera Group",2023-12-19,2023,2
"Herrera Group",2024-03-09,2024,3
"Herrera Group",2024-05-20,2024,4
"Herrera Ltd",2021-12-05,2021,1
"Herrera Ltd",2024-01-26,2024,2
"Herrera Ltd",2024-10-09,2024,3
"Herrera PLC",2019-11-07,2019,1
"Herrera PLC",2024-10-21,2024,2
"Hester PLC",2020-03-21,2020,1
"Hester PLC",2022-11-15,2022,2
"Hester PLC",2023-05-30,2023,3
"Hickman and Sons",2023-03-08,2023,1
"Hickman and Sons",2023-07-29,2023,2
"Higgins Group",2020-10-17,2020,1
"Higgins Group",2021-06-19,2021,2
"Higgins Group",2022-03-29,2022,3
"Higgins Group",2023-11-03,2023,4
"Higgins Group",2024-02-10,2024,5
"Hill, Gonzales and Hansen",2020-12-07,2020,1
"Hill, Gonzales and Hansen",2022-12-04,2022,2
"Hill, Gonzales and Hansen",2023-06-10,2023,3
"Hill, Gonzales and Hansen",2023-11-09,2023,4
"Hill, Perkins and Fleming",2020-01-16,2020,1
"Hill, Perkins and Fleming",2020-02-28,2020,2
"Hill, Perkins and Fleming",2020-10-22,2020,3
"Hill, Perkins and Fleming",2021-03-09,2021,4
"Hill, Perkins and Fleming",2024-08-19,2024,5
"Hill, Perkins and Fleming",2024-08-30,2024,6
"Hodge, Mclaughlin and Jones",2020-02-04,2020,1
"Hodge, Mclaughlin and Jones",2020-04-04,2020,2
"Hodge, Mclaughlin and Jones",2023-08-28,2023,3
"Hodge, Mclaughlin and Jones",2023-12-07,2023,4
"Hoffman, Hensley and Martinez",2020-06-13,2020,1
"Hoffman, Hensley and Martinez",2021-05-18,2021,2
"Hoffman, Hensley and Martinez",2022-03-02,2022,3
"Hoffman, Hensley and Martinez",2024-09-15,2024,4
"Hogan Group",2019-12-05,2019,1
"Hogan Group",2022-01-18,2022,2
"Hogan Group",2022-02-11,2022,3
"Hogan Group",2023-03-11,2023,4
"Hogan Group",2023-03-16,2023,5
"Hogan Group",2023-07-22,2023,6
"Hogan Group",2024-02-10,2024,7
"Hogan Group",2024-02-27,2024,8
"Hogan Group",2024-08-06,2024,9
Holmes-Barrett,2019-12-18,2019,1
Holmes-Barrett,2020-02-25,2020,2
Holmes-Barrett,2020-12-17,2020,3
Holmes-Barrett,2021-02-03,2021,4
Holmes-Barrett,2022-08-04,2022,5
"Horn, Reed and Miller",2020-07-13,2020,1
"Horn, Reed and Miller",2021-09-19,2021,2
"Horn, Reed and Miller",2021-11-05,2021,3
"Horn, Reed and Miller",2022-06-02,2022,4
"Horn, Reed and Miller",2023-07-04,2023,5
"Horton and Sons",2020-08-30,2020,1
"Horton and Sons",2022-08-26,2022,2
"Horton and Sons",2023-02-09,2023,3
"Horton and Sons",2024-09-11,2024,4
"House PLC",2020-08-23,2020,1
"House PLC",2021-04-18,2021,2
"House PLC",2023-04-12,2023,3
"Howard Inc",2020-09-11,2020,1
"Howard Inc",2020-10-27,2020,2
"Howard Inc",2021-08-21,2021,3
"Howard Inc",2022-05-15,2022,4
"Howard Inc",2022-09-07,2022,5
"Huang, Clark and Foster",2020-08-13,2020,1
"Huang, Clark and Foster",2020-09-24,2020,2
"Huang, Clark and Foster",2022-03-10,2022,3
"Huang, Clark and Foster",2023-07-07,2023,4
"Huang, Clark and Foster",2024-02-27,2024,5
Huber-Johnson,2022-09-19,2022,1
Huber-Johnson,2024-08-04,2024,2
"Hull, Perez and Rasmussen",2022-03-15,2022,1
Hunt-Bender,2020-10-25,2020,1
Hunt-Bender,2021-12-15,2021,2
Hunt-Bender,2023-02-01,2023,3
"Hurst Inc",2021-01-15,2021,1
"Hurst Inc",2021-03-19,2021,2
"Hurst Inc",2022-10-01,2022,3
"Hurst Inc",2023-10-08,2023,4
Ibarra-Booker,2022-11-15,2022,1
"Jackson Group",2021-09-29,2021,1
"Jackson Group",2023-04-15,2023,2
"Jackson Group",2023-08-01,2023,3
"Jackson Group",2024-02-24,2024,4
"Jackson Inc",2020-11-26,2020,1
"Jackson Inc",2021-04-01,2021,2
"Jackson Inc",2021-08-12,2021,3
"Jackson Inc",2022-08-29,2022,4
"Jackson Inc",2023-02-11,2023,5
"Jackson, Davis and Gill",2020-10-14,2020,1
"Jackson, Davis and Gill",2021-01-14,2021,2
"Jackson, Davis and Gill",2021-06-19,2021,3
"Jackson, Davis and Gill",2022-08-25,2022,4
"Jackson, Davis and Gill",2022-08-30,2022,5
"Jackson, Davis and Gill",2024-06-21,2024,6
"Jackson, Mckay and Sanchez",2020-07-08,2020,1
"Jackson, Mckay and Sanchez",2020-07-26,2020,2
"Jackson, Mckay and Sanchez",2021-03-15,2021,3
"Jackson, Mckay and Sanchez",2024-01-16,2024,4
"Jenkins, Jackson and Lopez",2020-04-11,2020,1
"Jenkins, Jackson and Lopez",2021-08-01,2021,2
"Jenkins, Jackson and Lopez",2022-08-01,2022,3
"Jenkins, Jackson and Lopez",2022-12-13,2022,4
"Jenkins, Jackson and Lopez",2023-01-29,2023,5
"Jenkins, Jackson and Lopez",2024-07-26,2024,6
"Jenkins, Jackson and Lopez",2024-09-03,2024,7
"Jimenez, Wolfe and Mcfarland",2020-09-05,2020,1
"Jimenez, Wolfe and Mcfarland",2021-09-09,2021,2
"Jimenez, Wolfe and Mcfarland",2023-03-04,2023,3
"Jimenez, Wolfe and Mcfarland",2023-10-26,2023,4
"Johnson and Sons",2021-12-08,2021,1
"Johnson and Sons",2023-06-27,2023,2
Johnson-Beltran,2021-07-30,2021,1
Johnson-Beltran,2021-11-24,2021,2
Johnson-Beltran,2022-01-09,2022,3
Johnson-Beltran,2022-08-16,2022,4
Johnson-Beltran,2023-03-01,2023,5
Johnson-Beltran,2023-04-20,2023,6
Johnson-Beltran,2023-11-18,2023,7
Johnson-Beltran,2024-06-20,2024,8
Johnson-Mckinney,2020-02-13,2020,1
Johnson-Mckinney,2021-04-27,2021,2
Johnson-Mckinney,2021-05-25,2021,3
Johnson-Mckinney,2022-02-22,2022,4
Johnson-Mckinney,2023-01-11,2023,5
Johnson-Mckinney,2023-09-29,2023,6
Johnson-Mckinney,2024-02-27,2024,7
Johnson-Reeves,2019-10-30,2019,1
Johnson-Reeves,2019-12-13,2019,2
Johnson-Reeves,2020-01-30,2020,3
Johnson-Reeves,2021-07-12,2021,4
Johnson-Reeves,2021-12-20,2021,5
Johnson-Reeves,2023-08-16,2023,6
Johnson-Reeves,2023-11-30,2023,7
Johnson-Reeves,2024-08-03,2024,8
"Johnson, Graham and Wagner",2021-02-13,2021,1
"Johnson, Graham and Wagner",2021-03-13,2021,2
"Johnson, Graham and Wagner",2022-03-23,2022,3
"Johnson, Graham and Wagner",2022-12-14,2022,4
"Johnson, Harrison and Mcgee",2021-08-26,2021,1
"Johnson, Harrison and Mcgee",2024-02-15,2024,2
"Johnson, Powell and Walker",2020-05-19,2020,1
"Johnson, Powell and Walker",2020-06-15,2020,2
"Johnson, Powell and Walker",2021-05-04,2021,3
"Johnson, Weaver and Torres",2020-06-19,2020,1
"Johnson, Weaver and Torres",2021-04-13,2021,2
"Johnson, Weaver and Torres",2021-06-10,2021,3
"Johnson, Weaver and Torres",2022-07-18,2022,4
"Johnson, Weaver and Torres",2022-08-14,2022,5
"Johnson, Weaver and Torres",2023-02-19,2023,6
"Johnson, Weaver and Torres",2023-06-19,2023,7
"Johnson, Weaver and Torres",2024-04-07,2024,8
"Jones Inc",2020-01-09,2020,1
"Jones Inc",2020-05-29,2020,2
"Jones Inc",2022-03-17,2022,3
"Jones Inc",2023-04-20,2023,4
"Jones Inc",2024-01-09,2024,5
"Jones Inc",2024-01-13,2024,6
"Jones Inc",2024-08-01,2024,7
Jones-Atkins,2019-11-27,2019,1
Jones-Atkins,2020-06-28,2020,2
Jones-Atkins,2023-11-07,2023,3
Jones-Gray,2023-08-21,2023,1
Jones-Gray,2023-08-23,2023,2
Jones-Gray,2024-10-17,2024,3
Jones-Villa,2022-06-06,2022,1
Jones-Villa,2023-01-03,2023,2
Jones-Villa,2023-09-07,2023,3
"Jones, Barrera and Hines",2020-02-06,2020,1
"Jones, Nelson and Jones",2020-08-16,2020,1
"Jones, Nelson and Jones",2020-10-09,2020,2
"Jones, Nelson and Jones",2021-09-12,2021,3
"Jones, Nelson and Jones",2021-12-11,2021,4
"Jones, Nelson and Jones",2023-08-22,2023,5
"Jones, Nelson and Jones",2023-10-07,2023,6
"Jones, Nelson and Jones",2024-09-18,2024,7
"Jordan Ltd",2024-08-31,2024,1
Joseph-Mills,2023-07-15,2023,1
Joseph-Mills,2023-07-26,2023,2
Kelley-Lamb,2020-08-01,2020,1
Kelley-Lamb,2020-08-15,2020,2
Kelley-Lamb,2020-08-20,2020,3
Kelley-Lamb,2021-05-23,2021,4
Kelley-Lamb,2021-10-15,2021,5
Kelley-Lamb,2022-04-01,2022,6
Kelley-Lamb,2022-08-12,2022,7
Kelley-Lamb,2023-04-25,2023,8
Kelley-Lamb,2023-07-24,2023,9
Kelley-Lamb,2023-10-15,2023,10
"Kelly and Sons",2020-06-26,2020,1
"Kelly and Sons",2023-11-22,2023,2
"Kelly and Sons",2024-10-21,2024,3
"Kelly Inc",2020-11-27,2020,1
"Kelly Inc",2022-01-24,2022,2
"Kelly Inc",2022-03-30,2022,3
"Kelly Inc",2023-06-16,2023,4
"Kelly Inc",2023-12-26,2023,5
"Kelly Inc",2024-05-27,2024,6
"Kelly Inc",2024-07-10,2024,7
Khan-Morales,2020-02-23,2020,1
Khan-Morales,2022-12-22,2022,2
Khan-Morales,2023-11-20,2023,3
"Khan, White and Wall",2022-01-17,2022,1
"Khan, White and Wall",2022-03-16,2022,2
"Khan, White and Wall",2022-09-30,2022,3
"Khan, White and Wall",2024-07-20,2024,4
"Kim, Robinson and Browning",2020-10-23,2020,1
"Kim, Robinson and Browning",2023-10-11,2023,2
"King PLC",2020-07-31,2020,1
"King, Cobb and Campbell",2020-11-17,2020,1
"King, Cobb and Campbell",2021-02-11,2021,2
"King, Cobb and Campbell",2022-10-21,2022,3
"King, Cobb and Campbell",2023-04-11,2023,4
"King, Cobb and Campbell",2023-09-02,2023,5
"King, Cobb and Campbell",2024-07-18,2024,6
"Knight, Henry and Chandler",2020-03-19,2020,1
"Knight, Henry and Chandler",2023-04-18,2023,2
"Knight, Henry and Chandler",2023-04-28,2023,3
"Knight, Henry and Chandler",2023-09-23,2023,4
"Knight, Henry and Chandler",2024-07-07,2024,5
"Krause Inc",2021-10-25,2021,1
"Krause Inc",2021-11-19,2021,2
"Krause Inc",2023-07-25,2023,3
"Krause Inc",2023-11-01,2023,4
"Krause Inc",2024-03-15,2024,5
"Krause Inc",2024-06-08,2024,6
"Landry LLC",2020-10-29,2020,1
"Landry LLC",2021-06-21,2021,2
"Landry LLC",2021-07-18,2021,3
"Landry LLC",2021-11-09,2021,4
"Lara Group",2021-02-07,2021,1
"Lara Group",2021-05-28,2021,2
"Lara Group",2021-08-02,2021,3
"Lara Group",2022-05-07,2022,4
"Lara Group",2023-04-24,2023,5
Larson-Morris,2021-05-06,2021,1
Larson-Morris,2021-07-10,2021,2
Larson-Morris,2022-10-03,2022,3
Larson-Morris,2023-07-07,2023,4
Larson-Morris,2023-11-15,2023,5
Larson-Morris,2024-03-16,2024,6
Larson-Morris,2024-05-22,2024,7
"Lee LLC",2021-01-26,2021,1
"Lee LLC",2021-10-17,2021,2
"Lee LLC",2021-12-24,2021,3
"Lee LLC",2022-06-13,2022,4
"Lee LLC",2022-07-14,2022,5
"Lee LLC",2023-04-15,2023,6
"Lee Ltd",2023-08-09,2023,1
"Lee Ltd",2023-12-25,2023,2
"Lee Ltd",2024-02-07,2024,3
Lee-Martinez,2020-05-16,2020,1
Lee-Martinez,2020-10-03,2020,2
Lee-Martinez,2020-10-08,2020,3
Lee-Martinez,2021-04-12,2021,4
Lee-Martinez,2024-01-29,2024,5
"Lee, Johnson and Zimmerman",2020-07-25,2020,1
"Lee, Johnson and Zimmerman",2022-08-20,2022,2
"Lee, Johnson and Zimmerman",2022-08-31,2022,3
"Lee, Juarez and Mason",2020-03-01,2020,1
"Lee, Juarez and Mason",2021-01-31,2021,2
"Lee, Juarez and Mason",2021-02-15,2021,3
"Lee, Juarez and Mason",2021-03-06,2021,4
"Lee, Juarez and Mason",2021-11-15,2021,5
"Lee, Juarez and Mason",2024-09-03,2024,6
"Lewis Group",2020-06-14,2020,1
"Lewis Group",2023-11-13,2023,2
"Lewis Inc",2020-06-02,2020,1
"Lewis Inc",2022-04-10,2022,2
"Lewis Inc",2023-03-28,2023,3
"Lewis Inc",2023-11-19,2023,4
"Lewis Inc",2024-04-13,2024,5
"Lewis LLC",2021-01-01,2021,1
"Lewis LLC",2021-03-28,2021,2
"Lewis LLC",2021-09-12,2021,3
"Lewis LLC",2022-01-01,2022,4
"Lewis LLC",2023-07-17,2023,5
"Lewis LLC",2023-11-22,2023,6
"Lewis, Douglas and Richard",2020-08-03,2020,1
"Lloyd LLC",2020-09-22,2020,1
"Lloyd LLC",2022-01-22,2022,2
"Lloyd LLC",2023-05-01,2023,3
"Lopez Group",2021-02-16,2021,1
"Lopez Inc",2020-12-19,2020,1
"Lopez Inc",2021-05-03,2021,2
"Lopez Inc",2021-12-07,2021,3
"Lopez Inc",2022-11-17,2022,4
"Lopez Inc",2023-03-07,2023,5
"Lopez Inc",2023-11-11,2023,6
"Lopez Inc",2024-02-17,2024,7
"Lopez Inc",2024-03-08,2024,8
Lopez-Boyd,2019-12-04,2019,1
Lopez-Boyd,2023-04-27,2023,2
Lopez-Boyd,2024-03-25,2024,3
Lopez-Rodriguez,2020-02-06,2020,1
Lopez-Rodriguez,2020-03-13,2020,2
Lopez-Rodriguez,2020-12-24,2020,3
Lopez-Rodriguez,2021-02-26,2021,4
Lopez-Rodriguez,2023-03-11,2023,5
Lopez-Rodriguez,2023-04-16,2023,6
Lopez-Rodriguez,2024-10-08,2024,7
"Lopez, Grimes and Roberts",2021-02-04,2021,1
"Lopez, Grimes and Roberts",2022-04-10,2022,2
"Lopez, Grimes and Roberts",2023-02-15,2023,3
"Lopez, Grimes and Roberts",2023-05-27,2023,4
"Lopez, Grimes and Roberts",2023-08-05,2023,5
"Lopez, Grimes and Roberts",2023-12-20,2023,6
"Lopez, Ingram and Hodge",2019-10-26,2019,1
"Lopez, Ingram and Hodge",2020-01-21,2020,2
"Lopez, Ingram and Hodge",2020-12-03,2020,3
"Lopez, Ingram and Hodge",2021-03-04,2021,4
"Lopez, Ingram and Hodge",2022-04-07,2022,5
"Lopez, Ingram and Hodge",2023-03-16,2023,6
"Lopez, Ingram and Hodge",2023-06-12,2023,7
"Lynn PLC",2021-03-04,2021,1
"Lynn PLC",2021-09-03,2021,2
"Lynn PLC",2022-06-02,2022,3
"Lynn PLC",2022-11-14,2022,4
"Lynn PLC",2023-03-08,2023,5
"Lynn PLC",2023-09-06,2023,6
"Lynn PLC",2024-09-12,2024,7
Mack-Doyle,2021-06-29,2021,1
Mack-Doyle,2021-09-24,2021,2
Mack-Doyle,2024-09-22,2024,3
"Mann Group",2019-11-21,2019,1
"Mann Group",2020-11-05,2020,2
"Mann Group",2021-04-02,2021,3
"Mann Group",2021-06-07,2021,4
"Mann Group",2022-05-14,2022,5
"Mann Group",2022-09-07,2022,6
Marquez-Cross,2022-03-19,2022,1
Marquez-Cross,2022-04-16,2022,2
Marquez-Cross,2022-11-08,2022,3
Marquez-Cross,2023-01-20,2023,4
Marquez-Cross,2023-01-29,2023,5
Marquez-Cross,2024-01-25,2024,6
"Martin Group",2020-02-07,2020,1
"Martin Group",2020-11-02,2020,2
"Martin Group",2021-04-06,2021,3
"Martin Group",2021-12-23,2021,4
"Martin Group",2022-02-08,2022,5
"Martin Group",2022-03-30,2022,6
"Martin Group",2022-07-25,2022,7
"Martin Group",2022-11-24,2022,8
"Martin Group",2023-05-03,2023,9
"Martin Group",2024-01-11,2024,10
"Martin Ltd",2020-03-05,2020,1
"Martin Ltd",2024-09-14,2024,2
"Martin PLC",2021-12-11,2021,1
"Martin PLC",2023-02-09,2023,2
"Martin PLC",2023-03-28,2023,3
Martin-Jones,2021-08-03,2021,1
Martin-Jones,2023-06-27,2023,2
Martin-Jones,2024-02-24,2024,3
Martin-Jones,2024-03-25,2024,4
Martin-Jones,2024-10-25,2024,5
Martin-Wood,2022-03-28,2022,1
Martin-Wood,2023-03-23,2023,2
Martin-Wood,2023-03-27,2023,3
Martin-Wood,2023-03-29,2023,4
Martin-Wood,2023-05-10,2023,5
Martin-Wood,2023-09-10,2023,6
Martin-Wood,2023-10-11,2023,7
"Martin, Richardson and Johnson",2021-08-02,2021,1
"Martin, Richardson and Johnson",2022-08-29,2022,2
"Martin, Richardson and Johnson",2022-11-02,2022,3
"Martin, Richardson and Johnson",2023-06-29,2023,4
"Martin, Williams and Lawson",2020-12-15,2020,1
"Martin, Williams and Lawson",2021-09-11,2021,2
"Martin, Williams and Lawson",2022-09-28,2022,3
"Martin, Williams and Lawson",2023-10-27,2023,4
"Martinez Inc",2022-07-03,2022,1
"Martinez Inc",2022-11-14,2022,2
"Martinez Inc",2023-05-30,2023,3
"Martinez Inc",2024-07-10,2024,4
"Martinez Inc",2024-08-14,2024,5
"Martinez Inc",2024-10-23,2024,6
"Martinez Ltd",2020-03-16,2020,1
"Martinez Ltd",2021-01-26,2021,2
"Martinez Ltd",2021-06-14,2021,3
"Martinez Ltd",2022-10-28,2022,4
"Martinez Ltd",2023-01-12,2023,5
"Martinez Ltd",2023-03-22,2023,6
"Martinez Ltd",2024-06-06,2024,7
Martinez-Phillips,2021-01-14,2021,1
Martinez-Phillips,2022-03-23,2022,2
Martinez-Phillips,2022-06-03,2022,3
Martinez-Phillips,2022-06-10,2022,4
Martinez-Reynolds,2020-04-25,2020,1
"Martinez, Cox and Malone",2019-12-02,2019,1
"Martinez, Small and Cunningham",2020-04-08,2020,1
"Martinez, Small and Cunningham",2020-05-13,2020,2
"Martinez, Small and Cunningham",2022-04-07,2022,3
"Martinez, Small and Cunningham",2024-06-04,2024,4
"Martinez, Small and Cunningham",2024-07-04,2024,5
"Martinez, Small and Cunningham",2024-10-19,2024,6
"Mason, Roberts and Smith",2019-11-30,2019,1
"Mason, Roberts and Smith",2022-09-15,2022,2
"Mason, Roberts and Smith",2023-11-16,2023,3
"Mathis and Sons",2022-12-04,2022,1
"Matthews, Rogers and Tran",2021-06-07,2021,1
"Matthews, Rogers and Tran",2021-07-17,2021,2
"Matthews, Rogers and Tran",2022-11-19,2022,3
"Matthews, Rogers and Tran",2023-01-29,2023,4
"Matthews, Rogers and Tran",2024-01-12,2024,5
"Mays Ltd",2020-01-08,2020,1
"Mays Ltd",2021-04-24,2021,2
"Mays Ltd",2024-10-21,2024,3
"Mccall, Williams and Mills",2019-12-31,2019,1
"Mccall, Williams and Mills",2021-01-10,2021,2
"Mccall, Williams and Mills",2024-01-23,2024,3
"Mccall, Williams and Mills",2024-04-22,2024,4
"Mccann, West and Rodriguez",2020-01-05,2020,1
"Mccann, West and Rodriguez",2020-04-26,2020,2
"Mccann, West and Rodriguez",2020-05-25,2020,3
"Mccann, West and Rodriguez",2022-01-16,2022,4
"Mccann, West and Rodriguez",2022-04-07,2022,5
"Mccann, West and Rodriguez",2023-02-07,2023,6
"Mccann, West and Rodriguez",2024-05-13,2024,7
"Mccann, West and Rodriguez",2024-07-21,2024,8
"Mccullough, Stewart and Mora",2023-08-25,2023,1
"Mccullough, Stewart and Mora",2023-09-02,2023,2
"Mcdaniel, Summers and Rivera",2022-07-13,2022,1
Mckee-Jensen,2020-01-31,2020,1
Mckee-Jensen,2021-03-31,2021,2
Mckee-Jensen,2023-06-27,2023,3
Mckenzie-Odonnell,2019-12-09,2019,1
Mckenzie-Odonnell,2023-06-07,2023,2
Mckenzie-Odonnell,2023-09-04,2023,3
"Mckinney LLC",2020-11-01,2020,1
"Mckinney LLC",2020-12-10,2020,2
"Mckinney LLC",2021-03-02,2021,3
"Mckinney LLC",2023-09-30,2023,4
"Mckinney, White and Mason",2019-11-01,2019,1
"Mckinney, White and Mason",2019-12-11,2019,2
"Mckinney, White and Mason",2020-09-12,2020,3
"Mckinney, White and Mason",2024-04-30,2024,4
"Mcpherson Group",2020-10-23,2020,1
"Mcpherson Group",2021-10-06,2021,2
"Mcpherson Group",2022-06-16,2022,3
"Mcpherson Group",2023-08-11,2023,4
"Mcpherson Group",2023-11-24,2023,5
"Mcpherson Group",2023-12-15,2023,6
"Mcpherson, Wilson and Miles",2019-12-19,2019,1
"Mcpherson, Wilson and Miles",2022-04-15,2022,2
"Mcpherson, Wilson and Miles",2023-12-11,2023,3
"Mcpherson, Wilson and Miles",2024-07-02,2024,4
"Meyer Group",2020-08-22,2020,1
"Meyer Group",2022-05-09,2022,2
"Meyer Group",2023-02-16,2023,3
"Meza, Gibson and Adams",2022-10-07,2022,1
"Meza, Gibson and Adams",2023-03-08,2023,2
"Meza, Gibson and Adams",2024-06-02,2024,3
"Miles, Hill and Bell",2020-07-15,2020,1
"Miles, Hill and Bell",2021-02-06,2021,2
"Miles, Hill and Bell",2021-07-08,2021,3
"Miles, Hill and Bell",2022-08-31,2022,4
"Miller Inc",2020-07-18,2020,1
"Miller Ltd",2020-05-23,2020,1
"Miller Ltd",2020-06-08,2020,2
"Miller Ltd",2022-02-19,2022,3
"Miller Ltd",2022-07-01,2022,4
"Miller Ltd",2023-02-21,2023,5
"Miller Ltd",2023-07-02,2023,6
Miller-Rivera,2023-02-13,2023,1
Miller-Smith,2021-01-17,2021,1
Miller-Smith,2021-01-29,2021,2
Miller-Smith,2022-05-29,2022,3
Miller-Smith,2023-02-23,2023,4
Miller-Smith,2024-08-02,2024,5
Miranda-Ruiz,2020-09-13,2020,1
Miranda-Ruiz,2020-12-03,2020,2
Miranda-Ruiz,2022-12-16,2022,3
Miranda-Ruiz,2023-04-15,2023,4
Mitchell-Novak,2021-04-11,2021,1
Mitchell-Novak,2022-01-04,2022,2
Mitchell-Novak,2022-12-30,2022,3
Mitchell-Novak,2024-02-17,2024,4
Mitchell-Novak,2024-09-30,2024,5
Molina-Thompson,2020-08-11,2020,1
Molina-Thompson,2020-10-24,2020,2
Molina-Thompson,2022-04-05,2022,3
Molina-Thompson,2023-01-20,2023,4
Molina-Thompson,2024-06-05,2024,5
Montgomery-Douglas,2019-12-28,2019,1
Montgomery-Douglas,2020-01-29,2020,2
Montgomery-Douglas,2021-06-13,2021,3
Montgomery-Douglas,2021-12-27,2021,4
Montgomery-Douglas,2022-02-05,2022,5
Montgomery-Douglas,2023-04-13,2023,6
Montgomery-Douglas,2023-11-26,2023,7
Moon-Ball,2024-05-27,2024,1
Moon-Ball,2024-08-24,2024,2
"Moore and Sons",2020-02-13,2020,1
"Moore and Sons",2021-10-30,2021,2
"Moore PLC",2019-12-10,2019,1
"Moore PLC",2021-06-19,2021,2
"Moore PLC",2022-04-02,2022,3
Moore-Irwin,2020-03-20,2020,1
Moore-Irwin,2020-05-14,2020,2
Moore-Irwin,2020-12-08,2020,3
Moore-Irwin,2021-01-12,2021,4
Moore-Irwin,2021-06-12,2021,5
Moore-Irwin,2021-12-07,2021,6
Moore-Irwin,2022-01-09,2022,7
Moore-Irwin,2023-01-31,2023,8
"Morris and Sons",2020-10-09,2020,1
"Morris and Sons",2021-11-19,2021,2
"Morris and Sons",2021-12-26,2021,3
"Morris and Sons",2023-03-02,2023,4
"Morris and Sons",2023-06-03,2023,5
"Morris and Sons",2023-10-28,2023,6
"Morris, Berger and Little",2021-10-07,2021,1
"Morris, Berger and Little",2022-09-26,2022,2
"Morris, Berger and Little",2024-10-03,2024,3
"Morris, Gonzalez and Diaz",2020-11-18,2020,1
"Morris, Gonzalez and Diaz",2022-04-11,2022,2
"Morris, Gonzalez and Diaz",2023-06-20,2023,3
"Mueller Group",2020-04-08,2020,1
"Mueller Group",2021-04-30,2021,2
"Mueller Group",2023-11-15,2023,3
"Murray Group",2020-01-15,2020,1
"Murray Group",2020-04-06,2020,2
"Murray Group",2024-05-25,2024,3
Murray-Harris,2020-08-07,2020,1
Murray-Harris,2020-11-02,2020,2
Murray-Harris,2020-11-15,2020,3
Murray-Harris,2021-02-18,2021,4
Murray-Harris,2023-07-25,2023,5
Murray-Harris,2024-08-06,2024,6
Murray-Harris,2024-10-07,2024,7
"Myers LLC",2020-02-28,2020,1
"Myers LLC",2022-12-11,2022,2
"Myers LLC",2024-07-19,2024,3
"Myers Ltd",2020-02-10,2020,1
"Myers Ltd",2020-05-19,2020,2
"Myers Ltd",2020-05-24,2020,3
"Myers Ltd",2021-05-15,2021,4
"Myers Ltd",2021-10-30,2021,5
"Myers Ltd",2022-08-23,2022,6
"Myers Ltd",2023-08-20,2023,7
"Myers, Mckay and Noble",2020-02-08,2020,1
"Myers, Mckay and Noble",2020-03-11,2020,2
"Myers, Mckay and Noble",2020-11-30,2020,3
"Myers, Mckay and Noble",2021-06-24,2021,4
"Myers, Mckay and Noble",2021-12-13,2021,5
"Myers, Mckay and Noble",2022-05-12,2022,6
"Myers, Mckay and Noble",2023-01-11,2023,7
"Myers, Mckay and Noble",2024-03-17,2024,8
"Neal PLC",2021-07-16,2021,1
"Neal PLC",2021-12-22,2021,2
"Neal PLC",2022-05-04,2022,3
"Neal PLC",2023-11-25,2023,4
"Nelson LLC",2021-07-23,2021,1
