property_name,lease_length_months,lease_length_years
"Carter Ltd",62,5
"Harris LLC",62,5
"Ross, Jenkins and Yates",62,5
Nelson-Gonzalez,62,5
"Sanchez Inc",62,5
"Bennett, Hess and Hernandez",61,5
"Hodge, Mclaughlin and Jones",61,5
Marquez-Cross,61,5
Gregory-Pena,61,5
"Mcdaniel, Summers and Rivera",61,5
"Lopez, Ingram and Hodge",61,5
"Davies, Mccoy and Cox",61,5
Saunders-Le,61,5
Goodwin-Bishop,61,5
"Cisneros Group",61,5
"Hickman and Sons",61,5
Rodriguez-Morrow,61,5
"Rodriguez Group",61,5
"Estes and Sons",61,5
"Myers, Mckay and Noble",61,5
Freeman-Martinez,61,5
"Andersen, Montgomery and White",61,5
"Salinas, Campbell and Reed",61,5
Sanchez-Alexander,61,5
"Salazar, Kennedy and Pierce",61,5
"Roman, Patterson and Barton",61,5
"Patterson PLC",61,5
"Gregory, Hensley and Ross",61,5
"Khan, White and Wall",61,5
"Miller Ltd",61,5
Wagner-Griffin,61,5
"Hall, Gomez and Diaz",61,5
Nicholson-Woodward,61,5
Edwards-Stewart,61,5
Phillips-Smith,61,5
Jones-Villa,61,5
"Jones, Barrera and Hines",61,5
"Ortega Inc",61,5
"Ross, Jenkins and Yates",61,5
"Bonilla, White and Hall",61,5
"Spence Inc",61,5
"Swanson, Benson and Campbell",61,5
Scott-Jensen,60,5
Cain-Alexander,60,5
"Gilmore, Frazier and Bright",60,5
"Garcia and Sons",60,5
"Brandt, Cain and Simon",60,5
"Cooper Group",60,5
Yoder-Rowe,60,5
"Kelly and Sons",60,5
"Barr and Sons",60,5
"Porter LLC",60,5
Baker-Sanders,60,5
Campbell-Rodriguez,60,5
Adams-Knight,60,5
Larson-Morris,60,5
