log_id,property_id,maintenance_type,maintenance_date,cost
ML00579,P0302,Cleaning,2023-12-15,1740
ML00580,P0071,Cleaning,2024-01-26,2636
ML00581,P0210,Structural,2023-09-12,900
ML00582,P0133,Plumbing,2023-05-02,2789
ML00583,P0282,Electrical,2024-04-21,3958
ML00584,P0270,Structural,2024-07-08,886
ML00585,P0057,Electrical,2023-01-21,4238
ML00586,P0180,Structural,2024-02-05,2180
ML00587,P0447,Cleaning,2023-04-29,2335
ML00588,P0458,Structural,2023-11-30,2158
ML00589,P0167,Structural,2024-01-19,2246
ML00590,P0007,Plumbing,2023-03-08,949
ML00591,P0009,Plumbing,2023-08-07,1727
ML00592,P0135,Plumbing,2023-10-13,263
ML00593,P0195,Plumbing,2024-03-14,2645
ML00594,P0451,Electrical,2024-05-10,1197
ML00595,P0228,Structural,2024-08-10,618
ML00596,P0130,Electrical,2023-08-12,3338
ML00597,P0244,Cleaning,2023-08-10,1086
ML00598,P0287,Electrical,2024-09-06,2516
ML00599,P0282,Plumbing,2023-10-24,3411
ML00600,P0079,Structural,2024-04-15,3373
ML00601,P0056,Plumbing,2024-08-23,2964
ML00602,P0048,Structural,2024-02-23,3413
ML00603,P0394,Cleaning,2023-01-01,2733
ML00604,P0438,Electrical,2024-05-19,4833
ML00605,P0170,Cleaning,2023-06-11,504
ML00606,P0207,Cleaning,2023-05-29,2383
ML00607,P0141,Plumbing,2023-04-05,4840
ML00608,P0453,Cleaning,2023-08-13,1262
ML00609,P0065,Cleaning,2023-03-13,4368
ML00610,P0374,Structural,2024-07-08,3120
ML00611,P0183,Electrical,2024-09-24,2409
ML00612,P0077,Structural,2023-09-15,4521
ML00613,P0320,Plumbing,2023-03-25,826
ML00614,P0128,Plumbing,2023-09-06,4312
ML00615,P0035,Structural,2022-10-26,3605
ML00616,P0492,Cleaning,2023-10-29,3088
ML00617,P0440,Plumbing,2024-05-10,119
ML00618,P0364,Electrical,2023-04-16,3859
ML00619,P0172,Plumbing,2023-01-29,1699
ML00620,P0344,Cleaning,2024-10-17,4559
ML00621,P0449,Plumbing,2023-11-22,4471
ML00622,P0349,Electrical,2023-05-20,1869
ML00623,P0003,Electrical,2023-03-21,3368
ML00624,P0369,Structural,2024-04-27,1862
ML00625,P0076,Electrical,2023-04-14,4159
ML00626,P0046,Electrical,2023-02-11,3792
ML00627,P0181,Electrical,2024-05-15,4839
ML00628,P0128,Structural,2024-03-01,3684
ML00629,P0198,Structural,2023-06-27,662
ML00630,P0256,Electrical,2024-05-24,4818
ML00631,P0074,Cleaning,2024-07-15,4979
ML00632,P0360,Plumbing,2024-07-11,1965
ML00633,P0122,Cleaning,2023-05-29,3844
ML00634,P0498,Electrical,2024-10-06,2445
ML00635,P0279,Plumbing,2023-10-15,4685
ML00636,P0171,Cleaning,2023-06-24,648
ML00637,P0076,Plumbing,2024-02-02,2789
ML00638,P0301,Plumbing,2023-04-13,3676
ML00639,P0223,Electrical,2024-02-03,2876
ML00640,P0240,Plumbing,2023-03-23,2188
ML00641,P0491,Plumbing,2024-04-10,2691
ML00642,P0383,Structural,2024-08-10,397
ML00643,P0420,Plumbing,2023-12-06,469
ML00644,P0336,Cleaning,2024-01-03,742
ML00645,P0378,Structural,2024-04-25,4014
ML00646,P0346,Structural,2024-03-15,2845
ML00647,P0340,Plumbing,2024-08-24,566
ML00648,P0488,Electrical,2024-01-30,2512
ML00649,P0155,Structural,2023-04-21,1608
ML00650,P0303,Cleaning,2024-07-15,1246
ML00651,P0413,Structural,2023-02-24,376
ML00652,P0264,Structural,2023-11-02,3455
ML00653,P0256,Electrical,2022-11-22,1475
ML00654,P0413,Plumbing,2023-04-26,1404
ML00655,P0184,Structural,2023-02-11,2293
ML00656,P0198,Structural,2024-02-20,941
ML00657,P0357,Cleaning,2023-08-30,3099
ML00658,P0020,Electrical,2023-01-11,3045
ML00659,P0456,Electrical,2024-04-19,2040
ML00660,P0040,Plumbing,2023-02-08,1899
ML00661,P0283,Plumbing,2023-06-17,730
ML00662,P0182,Electrical,2024-05-19,258
ML00663,P0431,Structural,2023-12-01,3382
ML00664,P0266,Structural,2024-10-25,1809
ML00665,P0032,Electrical,2024-02-25,4285
ML00666,P0241,Plumbing,2024-10-03,4644
ML00667,P0325,Plumbing,2024-01-21,2115
ML00668,P0436,Structural,2023-02-23,3692
ML00669,P0133,Plumbing,2023-09-28,2599
ML00670,P0170,Electrical,2023-03-31,113
ML00671,P0065,Structural,2022-12-17,613
ML00672,P0293,Cleaning,2023-06-23,202
ML00673,P0183,Structural,2023-02-20,4720
ML00674,P0302,Electrical,2023-01-29,1936
ML00675,P0297,Structural,2024-01-28,1664
ML00676,P0306,Structural,2023-11-11,2998
ML00677,P0307,Structural,2023-03-21,1060
ML00678,P0132,Structural,2024-03-28,1885
ML00679,P0227,Plumbing,2023-04-14,1573
ML00680,P0082,Cleaning,2024-07-24,3148
ML00681,P0221,Structural,2023-07-04,3077
ML00682,P0439,Electrical,2023-02-22,582
ML00683,P0348,Plumbing,2024-08-09,2487
ML00684,P0331,Cleaning,2023-02-01,4143
ML00685,P0336,Electrical,2023-05-27,4768
ML00686,P0450,Cleaning,2024-01-13,3540
ML00687,P0094,Plumbing,2023-11-24,989
ML00688,P0496,Electrical,2024-04-16,638
ML00689,P0034,Cleaning,2024-05-31,269
ML00690,P0465,Cleaning,2024-06-09,4979
ML00691,P0090,Structural,2023-04-09,2269
ML00692,P0351,Plumbing,2023-08-03,171
ML00693,P0193,Structural,2024-01-16,211
ML00694,P0297,Plumbing,2023-05-16,4711
ML00695,P0044,Electrical,2023-08-16,286
ML00696,P0441,Cleaning,2023-08-26,2178
ML00697,P0461,Cleaning,2024-01-18,1502
ML00698,P0169,Structural,2023-03-03,1519
ML00699,P0430,Cleaning,2024-10-01,3176
ML00700,P0100,Electrical,2024-08-02,3749
ML00701,P0150,Electrical,2023-10-04,4596
ML00702,P0493,Electrical,2024-03-13,4524
ML00703,P0253,Structural,2022-11-17,2154
ML00704,P0290,Cleaning,2024-03-14,1215
ML00705,P0500,Cleaning,2023-01-04,4544
ML00706,P0167,Electrical,2024-08-11,2294
ML00707,P0186,Cleaning,2024-08-18,4527
ML00708,P0071,Plumbing,2024-10-15,483
ML00709,P0481,Plumbing,2023-09-07,924
ML00710,P0281,Plumbing,2023-08-17,1971
ML00711,P0464,Structural,2024-06-11,4870
ML00712,P0386,Structural,2022-12-25,557
ML00713,P0204,Structural,2024-09-11,3959
ML00714,P0196,Cleaning,2023-12-18,3713
ML00715,P0480,Structural,2023-04-16,366
ML00716,P0040,Cleaning,2023-01-01,1262
ML00717,P0290,Electrical,2023-01-29,4694
ML00718,P0432,Plumbing,2023-03-23,538
ML00719,P0286,Electrical,2023-11-22,993
ML00720,P0173,Plumbing,2024-07-01,2110
ML00721,P0014,Structural,2024-04-16,1584
ML00722,P0434,Cleaning,2023-11-09,2867
ML00723,P0428,Cleaning,2022-12-16,2043
ML00724,P0214,Cleaning,2024-09-19,3318
ML00725,P0117,Cleaning,2023-07-13,474
ML00726,P0109,Cleaning,2023-12-17,2020
ML00727,P0202,Structural,2023-01-28,1086
ML00728,P0143,Plumbing,2023-05-31,3822
ML00729,P0480,Electrical,2024-07-05,2275
ML00730,P0180,Cleaning,2023-04-27,2341
ML00731,P0348,Electrical,2022-10-27,1287
ML00732,P0199,Plumbing,2023-11-02,2552
ML00733,P0062,Electrical,2023-10-12,1364
ML00734,P0473,Cleaning,2023-05-18,4742
ML00735,P0314,Structural,2024-10-07,3747
ML00736,P0044,Electrical,2024-03-13,1512
ML00737,P0403,Electrical,2024-02-18,4629
ML00738,P0124,Structural,2024-05-19,4711
ML00739,P0032,Cleaning,2023-05-17,1866
ML00740,P0224,Structural,2023-12-07,4576
ML00741,P0275,Electrical,2023-04-12,2573
ML00742,P0230,Plumbing,2024-08-28,1727
ML00743,P0025,Cleaning,2023-01-17,725
ML00744,P0479,Plumbing,2022-11-02,323
ML00745,P0140,Structural,2023-04-27,2988
ML00746,P0109,Cleaning,2023-09-30,4211
ML00747,P0445,Electrical,2023-02-22,4970
ML00748,P0282,Cleaning,2024-07-31,4569
ML00749,P0232,Cleaning,2023-07-14,4233
ML00750,P0442,Cleaning,2024-08-10,1504
ML00751,P0410,Plumbing,2024-06-02,1199
ML00752,P0219,Electrical,2024-01-20,4426
ML00753,P0348,Electrical,2023-06-23,2323
ML00754,P0361,Electrical,2023-03-01,166
ML00755,P0386,Structural,2023-09-12,1747
ML00756,P0252,Structural,2023-02-18,2242
ML00757,P0392,Structural,2024-01-21,3577
ML00758,P0182,Plumbing,2023-10-15,2867
ML00759,P0429,Electrical,2024-07-10,3819
ML00760,P0442,Plumbing,2024-03-02,713
ML00761,P0479,Cleaning,2023-06-04,2798
ML00762,P0477,Plumbing,2024-05-13,3337
ML00763,P0345,Cleaning,2024-08-05,2451
ML00764,P0388,Structural,2024-07-31,3682
ML00765,P0419,Electrical,2023-10-29,3290
ML00766,P0316,Cleaning,2024-07-13,2012
ML00767,P0336,Plumbing,2023-06-14,3577
ML00768,P0027,Electrical,2022-11-24,3991
ML00769,P0001,Plumbing,2024-04-14,2688
ML00770,P0250,Plumbing,2023-03-03,848
ML00771,P0386,Structural,2022-12-15,2712
ML00772,P0171,Structural,2024-09-18,1600
ML00773,P0075,Electrical,2023-07-08,432
ML00774,P0266,Cleaning,2024-04-21,1281
ML00775,P0032,Electrical,2022-12-10,1840
ML00776,P0201,Cleaning,2024-09-23,2181
ML00777,P0230,Electrical,2024-05-08,4767
ML00778,P0019,Cleaning,2023-02-09,1633
ML00779,P0368,Plumbing,2023-04-22,4911
ML00780,P0136,Plumbing,2024-02-20,1538
ML00781,P0321,Cleaning,2023-03-31,1052
ML00782,P0036,Cleaning,2024-08-16,4846
ML00783,P0391,Cleaning,2024-09-02,4179
ML00784,P0445,Structural,2022-12-30,2598
ML00785,P0240,Structural,2024-02-11,371
ML00786,P0164,Electrical,2023-11-08,991
ML00787,P0094,Plumbing,2023-11-05,3925
ML00788,P0045,Cleaning,2023-01-27,847
ML00789,P0293,Structural,2023-09-21,1275
ML00790,P0019,Plumbing,2023-12-18,3597
ML00791,P0364,Cleaning,2024-08-08,1004
ML00792,P0023,Electrical,2022-11-04,2261
ML00793,P0281,Cleaning,2023-05-25,3658
ML00794,P0198,Cleaning,2024-02-03,3087
ML00795,P0283,Plumbing,2023-01-03,4520
ML00796,P0021,Structural,2023-08-27,1800
ML00797,P0496,Plumbing,2024-02-16,2484
ML00798,P0247,Structural,2024-05-16,1769
ML00799,P0028,Plumbing,2024-09-22,3287
ML00800,P0183,Structural,2023-07-22,2232
ML00801,P0073,Cleaning,2023-01-16,3324
ML00802,P0174,Cleaning,2024-09-10,3744
ML00803,P0251,Electrical,2024-04-28,1575
ML00804,P0136,Structural,2023-05-29,3851
ML00805,P0408,Cleaning,2022-12-06,3271
ML00806,P0286,Cleaning,2024-03-09,467
ML00807,P0286,Plumbing,2023-08-27,1292
ML00808,P0205,Structural,2024-01-19,2520
ML00809,P0436,Cleaning,2024-04-20,2444
ML00810,P0251,Electrical,2024-02-01,3313
ML00811,P0183,Plumbing,2024-06-28,4120
ML00812,P0191,Electrical,2024-08-06,801
ML00813,P0049,Electrical,2023-05-24,499
ML00814,P0104,Structural,2024-04-03,2573
ML00815,P0004,Structural,2023-10-29,831
ML00816,P0492,Structural,2022-12-10,2443
ML00817,P0087,Electrical,2022-12-14,311
ML00818,P0177,Structural,2023-05-16,4903
ML00819,P0010,Structural,2023-02-19,2796
ML00820,P0254,Structural,2022-10-30,4364
ML00821,P0028,Electrical,2023-05-23,3432
ML00822,P0207,Structural,2024-07-12,651
ML00823,P0443,Electrical,2024-01-13,4056
ML00824,P0004,Plumbing,2023-04-13,4350
ML00825,P0429,Structural,2023-03-15,1832
ML00826,P0432,Cleaning,2023-08-21,4972
ML00827,P0095,Plumbing,2023-02-18,4187
ML00828,P0462,Electrical,2022-12-18,2919
ML00829,P0067,Plumbing,2024-06-05,1872
ML00830,P0003,Cleaning,2023-05-02,1209
ML00831,P0282,Cleaning,2024-06-29,3777
ML00832,P0449,Structural,2023-09-30,1178
ML00833,P0129,Plumbing,2023-04-05,1183
ML00834,P0420,Electrical,2023-01-21,3434
ML00835,P0049,Cleaning,2023-08-29,579
ML00836,P0299,Structural,2024-05-15,370
ML00837,P0027,Electrical,2023-12-28,4208
ML00838,P0460,Cleaning,2023-09-29,2849
ML00839,P0173,Electrical,2024-08-18,2572
ML00840,P0238,Electrical,2022-11-26,3592
ML00841,P0315,Electrical,2023-11-22,2607
ML00842,P0180,Structural,2023-08-07,2385
ML00843,P0114,Structural,2024-09-20,1395
ML00844,P0149,Electrical,2023-12-18,3537
ML00845,P0318,Plumbing,2023-09-09,4187
ML00846,P0157,Cleaning,2024-02-14,4777
ML00847,P0362,Plumbing,2024-09-09,304
ML00848,P0088,Electrical,2023-01-09,951
ML00849,P0002,Structural,2022-12-16,2285
ML00850,P0293,Structural,2023-04-13,219
ML00851,P0298,Plumbing,2024-07-27,2753
ML00852,P0491,Cleaning,2024-03-08,4744
ML00853,P0499,Plumbing,2023-07-01,3922
ML00854,P0448,Cleaning,2024-02-01,4936
ML00855,P0095,Electrical,2023-09-13,1996
ML00856,P0024,Electrical,2023-04-04,3915
ML00857,P0443,Plumbing,2023-08-30,4707
ML00858,P0220,Structural,2024-06-19,112
ML00859,P0027,Cleaning,2023-01-28,2909
ML00860,P0292,Structural,2024-01-23,739
ML00861,P0057,Cleaning,2023-12-21,2788
ML00862,P0255,Cleaning,2023-12-09,1322
ML00863,P0124,Electrical,2023-10-09,227
ML00864,P0495,Electrical,2022-12-23,1912
ML00865,P0498,Electrical,2023-02-19,576
ML00866,P0017,Cleaning,2023-06-17,409
ML00867,P0213,Plumbing,2023-09-07,2576
ML00868,P0486,Electrical,2023-05-27,4724
ML00869,P0050,Structural,2023-11-12,640
ML00870,P0038,Cleaning,2023-12-24,2426
ML00871,P0037,Structural,2023-01-31,1147
ML00872,P0034,Structural,2022-12-22,1624
ML00873,P0063,Structural,2023-04-06,3114
ML00874,P0008,Plumbing,2022-11-20,3743
ML00875,P0205,Cleaning,2024-07-13,4850
ML00876,P0227,Electrical,2022-12-24,521
ML00877,P0227,Cleaning,2024-09-05,3693
ML00878,P0448,Electrical,2024-05-27,2592
ML00879,P0308,Structural,2024-10-23,381
ML00880,P0303,Plumbing,2024-02-14,3983
ML00881,P0281,Electrical,2024-06-23,970
ML00882,P0409,Structural,2024-04-08,1618
ML00883,P0008,Plumbing,2023-10-21,2923
ML00884,P0291,Structural,2024-06-29,2229
ML00885,P0223,Electrical,2023-01-15,4644
ML00886,P0085,Electrical,2024-04-03,4155
ML00887,P0262,Electrical,2024-03-27,2070
ML00888,P0298,Structural,2022-11-04,848
ML00889,P0093,Structural,2024-04-07,4164
ML00890,P0049,Electrical,2023-08-14,3782
ML00891,P0118,Structural,2023-07-08,2907
ML00892,P0078,Cleaning,2024-04-09,3687
ML00893,P0201,Cleaning,2023-05-14,3151
ML00894,P0317,Electrical,2023-03-08,4023
ML00895,P0209,Cleaning,2023-05-07,4731
ML00896,P0055,Cleaning,2023-12-23,3160
ML00897,P0299,Electrical,2023-09-27,4181
ML00898,P0396,Plumbing,2024-04-04,4724
ML00899,P0086,Plumbing,2023-02-15,3271
ML00900,P0076,Electrical,2024-07-26,3442
ML00901,P0237,Cleaning,2022-11-30,4855
ML00902,P0397,Electrical,2024-08-19,3654
ML00903,P0324,Structural,2022-11-15,609
ML00904,P0074,Cleaning,2024-07-05,373
ML00905,P0476,Cleaning,2022-12-29,3801
ML00906,P0463,Cleaning,2024-07-09,4238
ML00907,P0451,Electrical,2023-07-02,2191
ML00908,P0187,Cleaning,2024-09-09,4544
ML00909,P0124,Electrical,2023-12-16,4586
ML00910,P0044,Electrical,2023-05-18,4200
ML00911,P0119,Plumbing,2023-07-21,2965
ML00912,P0276,Cleaning,2024-06-03,3811
ML00913,P0118,Electrical,2022-10-30,2688
ML00914,P0141,Plumbing,2023-02-22,4257
ML00915,P0167,Electrical,2023-05-05,4157
ML00916,P0215,Electrical,2023-06-13,4438
ML00917,P0318,Plumbing,2024-01-06,1674
ML00918,P0108,Plumbing,2023-01-20,3279
ML00919,P0198,Electrical,2023-06-12,4931
ML00920,P0374,Electrical,2024-09-18,4908
ML00921,P0039,Electrical,2024-10-19,1127
ML00922,P0175,Cleaning,2023-03-17,1965
ML00923,P0041,Electrical,2023-02-24,2925
ML00924,P0011,Cleaning,2024-02-21,2314
ML00925,P0026,Structural,2024-10-22,4318
ML00926,P0142,Cleaning,2023-01-08,1913
ML00927,P0196,Cleaning,2023-06-05,3250
ML00928,P0349,Electrical,2024-09-10,4923
ML00929,P0231,Structural,2024-03-03,2611
ML00930,P0005,Electrical,2024-02-04,3352
ML00931,P0126,Structural,2024-07-14,408
ML00932,P0265,Electrical,2024-04-07,3905
ML00933,P0378,Plumbing,2023-01-30,1683
ML00934,P0381,Electrical,2023-06-27,262
ML00935,P0021,Plumbing,2023-04-30,941
ML00936,P0404,Structural,2023-07-04,937
ML00937,P0347,Plumbing,2023-09-11,4888
ML00938,P0093,Structural,2023-11-03,2630
ML00939,P0196,Plumbing,2023-06-13,3830
ML00940,P0440,Electrical,2024-01-08,4492
ML00941,P0340,Cleaning,2024-06-27,183
ML00942,P0304,Plumbing,2024-05-13,1543
ML00943,P0236,Plumbing,2023-10-28,3013
ML00944,P0185,Structural,2023-03-14,3472
ML00945,P0418,Plumbing,2024-04-22,965
ML00946,P0043,Cleaning,2023-06-30,4359
ML00947,P0087,Electrical,2024-06-13,1519
ML00948,P0426,Electrical,2023-02-28,4116
ML00949,P0463,Cleaning,2024-10-15,1442
ML00950,P0419,Plumbing,2023-12-09,2783
ML00951,P0074,Structural,2024-01-26,4972
ML00952,P0200,Plumbing,2023-02-11,3811
ML00953,P0464,Plumbing,2023-05-02,2791
ML00954,P0436,Structural,2023-01-02,2732
ML00955,P0316,Electrical,2024-08-23,2882
ML00956,P0007,Plumbing,2022-10-28,904
ML00957,P0377,Electrical,2023-06-28,1102
ML00958,P0101,Structural,2023-07-16,120
ML00959,P0224,Structural,2024-02-29,3731
ML00960,P0097,Cleaning,2023-11-21,847
ML00961,P0124,Structural,2023-09-05,4482
ML00962,P0232,Cleaning,2023-09-26,2934
ML00963,P0244,Electrical,2023-08-27,1601
ML00964,P0226,Cleaning,2023-05-22,1828
ML00965,P0172,Structural,2024-06-28,827
ML00966,P0070,Electrical,2024-01-16,3584
ML00967,P0299,Plumbing,2023-02-15,575
ML00968,P0341,Plumbing,2022-11-18,3974
ML00969,P0039,Cleaning,2023-07-02,2493
ML00970,P0491,Plumbing,2023-01-26,1071
ML00971,P0041,Plumbing,2024-09-29,4742
ML00972,P0195,Electrical,2024-04-23,704
ML00973,P0110,Plumbing,2024-09-05,803
ML00974,P0301,Cleaning,2024-03-13,644
ML00975,P0199,Electrical,2023-09-14,2241
ML00976,P0022,Structural,2024-04-27,3488
ML00977,P0224,Electrical,2024-07-31,1158
ML00978,P0168,Cleaning,2023-04-23,277
ML00979,P0187,Cleaning,2023-09-24,1510
ML00980,P0383,Cleaning,2023-03-03,174
ML00981,P0142,Cleaning,2022-11-30,4779
ML00982,P0413,Structural,2023-02-07,2709
ML00983,P0085,Cleaning,2023-03-17,3073
ML00984,P0280,Cleaning,2023-12-25,2057
ML00985,P0021,Plumbing,2022-12-14,1485
ML00986,P0103,Plumbing,2024-07-21,4597
ML00987,P0072,Electrical,2024-03-09,1807
ML00988,P0200,Cleaning,2024-03-03,4432
ML00989,P0327,Electrical,2024-08-26,1066
ML00990,P0404,Cleaning,2024-05-05,893
ML00991,P0150,Electrical,2024-03-18,4627
ML00992,P0103,Plumbing,2023-04-26,3041
ML00993,P0014,Plumbing,2024-04-04,3152
ML00994,P0389,Cleaning,2023-03-14,2337
ML00995,P0194,Cleaning,2023-07-10,1724
ML00996,P0441,Structural,2024-10-24,3497
ML00997,P0190,Structural,2024-09-27,4243
ML00998,P0190,Cleaning,2024-08-04,811
ML00999,P0476,Cleaning,2023-04-21,4956
ML01000,P0272,Structural,2023-09-22,629
ML01001,P0471,Cleaning,2024-06-03,4219
ML01002,P0127,Plumbing,2023-05-19,316
ML01003,P0127,Cleaning,2024-02-13,4360
ML01004,P0182,Plumbing,2024-07-21,2172
ML01005,P0396,Plumbing,2023-01-05,329
ML01006,P0151,Electrical,2022-11-15,4994
ML01007,P0373,Cleaning,2024-01-28,2076
ML01008,P0315,Structural,2024-03-22,1902
ML01009,P0289,Cleaning,2023-03-29,2434
ML01010,P0442,Cleaning,2024-10-08,1938
ML01011,P0204,Electrical,2022-11-06,738
ML01012,P0258,Electrical,2023-04-17,1830
ML01013,P0083,Structural,2023-10-24,493
ML01014,P0195,Electrical,2024-05-09,2329
ML01015,P0434,Structural,2023-10-17,380
ML01016,P0283,Plumbing,2023-11-30,2950
ML01017,P0340,Structural,2023-03-23,3067
ML01018,P0042,Cleaning,2023-03-24,3461
ML01019,P0211,Structural,2024-04-02,1855
ML01020,P0424,Structural,2023-01-03,1878
ML01021,P0178,Structural,2024-04-25,4137
ML01022,P0259,Cleaning,2024-04-29,2967
ML01023,P0200,Plumbing,2024-09-10,2892
ML01024,P0470,Plumbing,2023-05-24,2054
ML01025,P0190,Electrical,2022-11-20,4840
ML01026,P0267,Cleaning,2022-11-16,2576
ML01027,P0090,Plumbing,2023-07-21,3469
ML01028,P0169,Cleaning,2024-08-25,4202
ML01029,P0129,Electrical,2023-12-24,2962
ML01030,P0336,Plumbing,2023-02-27,4296
ML01031,P0264,Plumbing,2023-08-09,676
ML01032,P0427,Electrical,2023-07-09,968
ML01033,P0453,Structural,2022-11-03,2496
ML01034,P0466,Electrical,2023-12-06,4121
ML01035,P0169,Structural,2024-07-26,284
ML01036,P0052,Electrical,2023-06-12,1584
ML01037,P0203,Cleaning,2024-07-04,774
ML01038,P0321,Cleaning,2023-02-24,2920
ML01039,P0065,Structural,2024-05-30,1433
ML01040,P0433,Plumbing,2024-03-28,1269
ML01041,P0054,Cleaning,2024-01-19,2385
ML01042,P0181,Cleaning,2023-07-28,1950
ML01043,P0111,Electrical,2023-08-12,2125
ML01044,P0149,Structural,2023-04-06,1734
ML01045,P0295,Electrical,2022-11-21,2371
ML01046,P0250,Electrical,2022-11-13,2963
ML01047,P0230,Plumbing,2024-01-18,1691
ML01048,P0422,Electrical,2023-10-02,2558
ML01049,P0116,Cleaning,2023-05-06,2887
ML01050,P0276,Structural,2023-01-03,1369
ML01051,P0300,Cleaning,2023-04-07,2300
ML01052,P0445,Plumbing,2023-07-11,4192
ML01053,P0181,Plumbing,2023-03-28,915
ML01054,P0141,Plumbing,2023-06-14,499
ML01055,P0421,Electrical,2023-05-14,4219
ML01056,P0347,Plumbing,2024-07-09,1587
ML01057,P0236,Plumbing,2022-12-21,1163
ML01058,P0411,Structural,2023-05-27,2813
ML01059,P0497,Structural,2024-06-30,4856
ML01060,P0057,Electrical,2023-12-26,864
ML01061,P0043,Structural,2024-05-01,2269
ML01062,P0473,Plumbing,2024-09-26,4932
ML01063,P0308,Structural,2024-04-08,4737
ML01064,P0051,Electrical,2023-11-15,602
ML01065,P0173,Plumbing,2023-06-17,4109
ML01066,P0091,Cleaning,2024-03-30,2956
ML01067,P0117,Cleaning,2024-09-04,4690
ML01068,P0119,Electrical,2023-09-25,4817
ML01069,P0183,Electrical,2023-12-31,533
ML01070,P0348,Cleaning,2023-09-03,3837
ML01071,P0235,Structural,2023-04-04,2975
ML01072,P0437,Cleaning,2023-06-09,3539
ML01073,P0294,Structural,2023-12-29,1869
ML01074,P0273,Cleaning,2024-10-02,4927
ML01075,P0056,Electrical,2022-11-08,2774
ML01076,P0122,Structural,2023-12-20,2374
ML01077,P0059,Cleaning,2023-06-07,1031
ML01078,P0211,Plumbing,2024-07-21,3230
ML01079,P0354,Cleaning,2022-11-01,1238
ML01080,P0109,Electrical,2023-04-22,1769
ML01081,P0438,Structural,2023-12-03,1300
ML01082,P0036,Structural,2023-05-23,4518
ML01083,P0358,Plumbing,2022-12-09,2159
ML01084,P0207,Plumbing,2023-01-07,3768
ML01085,P0042,Electrical,2023-02-26,1374
ML01086,P0122,Plumbing,2023-07-07,1401
ML01087,P0204,Electrical,2023-10-12,4170
ML01088,P0328,Cleaning,2024-10-02,1261
ML01089,P0459,Electrical,2024-06-16,4655
ML01090,P0224,Structural,2024-10-17,2188
ML01091,P0205,Cleaning,2024-03-09,4118
ML01092,P0054,Cleaning,2023-03-23,1357
ML01093,P0134,Plumbing,2022-11-04,4742
ML01094,P0120,Plumbing,2024-01-04,1254
ML01095,P0473,Structural,2023-06-27,2589
ML01096,P0110,Structural,2024-09-05,1068
ML01097,P0228,Cleaning,2023-10-07,3177
ML01098,P0461,Electrical,2023-09-28,1507
ML01099,P0268,Cleaning,2023-09-22,4826
ML01100,P0218,Plumbing,2023-08-04,1382
ML01101,P0201,Plumbing,2023-08-25,2852
ML01102,P0486,Plumbing,2024-01-27,1081
ML01103,P0405,Structural,2024-04-10,851
ML01104,P0004,Cleaning,2023-12-21,2054
ML01105,P0344,Cleaning,2023-12-26,608
ML01106,P0332,Electrical,2023-04-17,1277
ML01107,P0386,Plumbing,2024-05-26,2370
ML01108,P0458,Electrical,2023-11-29,879
ML01109,P0169,Cleaning,2023-07-01,1760
ML01110,P0095,Cleaning,2023-06-25,1657
ML01111,P0150,Electrical,2023-08-10,2770
ML01112,P0137,Structural,2024-05-10,2713
ML01113,P0428,Cleaning,2023-06-06,4269
ML01114,P0170,Electrical,2023-08-25,368
ML01115,P0123,Cleaning,2024-03-15,3547
ML01116,P0456,Cleaning,2023-12-08,147
ML01117,P0463,Cleaning,2023-11-09,1972
ML01118,P0435,Electrical,2024-07-08,2483
ML01119,P0371,Plumbing,2023-07-10,2477
ML01120,P0448,Plumbing,2023-12-03,4380
ML01121,P0370,Cleaning,2023-01-11,1195
ML01122,P0016,Cleaning,2024-09-18,2756
ML01123,P0281,Structural,2023-11-02,4259
ML01124,P0422,Cleaning,2024-03-29,4154
ML01125,P0191,Cleaning,2024-02-15,3201
ML01126,P0275,Cleaning,2024-08-17,3799
ML01127,P0393,Structural,2023-01-29,3458
ML01128,P0326,Cleaning,2022-11-27,4427
ML01129,P0285,Plumbing,2023-11-11,1591
ML01130,P0429,Plumbing,2024-05-30,4229
ML01131,P0311,Cleaning,2023-08-28,2779
ML01132,P0059,Electrical,2024-03-25,3752
ML01133,P0006,Structural,2023-02-26,4041
ML01134,P0048,Cleaning,2023-05-21,1563
ML01135,P0351,Structural,2023-10-09,2454
ML01136,P0282,Cleaning,2023-05-31,3109
ML01137,P0349,Electrical,2024-04-28,3695
ML01138,P0344,Plumbing,2024-03-24,2710
ML01139,P0389,Cleaning,2024-02-16,2365
ML01140,P0441,Plumbing,2023-03-30,3611
ML01141,P0091,Cleaning,2024-02-12,1609
ML01142,P0341,Cleaning,2023-03-06,2216
ML01143,P0382,Structural,2024-10-17,1699
ML01144,P0037,Plumbing,2023-05-04,2768
ML01145,P0002,Cleaning,2022-12-10,2330
ML01146,P0249,Structural,2022-11-22,207
ML01147,P0169,Electrical,2023-06-04,714
ML01148,P0494,Plumbing,2022-12-10,4334
ML01149,P0249,Electrical,2023-10-12,3695
ML01150,P0043,Cleaning,2024-01-31,3978
ML01151,P0177,Cleaning,2024-04-25,1839
ML01152,P0257,Plumbing,2024-01-21,386
ML01153,P0379,Structural,2024-07-29,3507
ML01154,P0399,Structural,2023-05-14,2969
ML01155,P0055,Structural,2024-03-20,2615
ML01156,P0479,Structural,2024-10-13,4697
ML01157,P0449,Structural,2024-06-23,4413
ML01158,P0184,Structural,2023-11-13,1506
